model,model_zh,fpr,tpr,threshold
logistic_regression,逻辑回归,0.0000000000,0.0000000000,inf
logistic_regression,逻辑回归,0.0000000000,0.0238095238,0.9999999999
logistic_regression,逻辑回归,0.0000000000,0.9285714286,0.5799257795
logistic_regression,逻辑回归,0.0138888889,0.9285714286,0.5113259857
logistic_regression,逻辑回归,0.0138888889,0.9761904762,0.3206129157
logistic_regression,逻辑回归,0.1388888889,0.9761904762,0.0678910265
logistic_regression,逻辑回归,0.1388888889,1.0000000000,0.0634781132
logistic_regression,逻辑回归,1.0000000000,1.0000000000,0.0000000274
decision_tree,决策树,0.0000000000,0.0000000000,inf
decision_tree,决策树,0.0277777778,0.7857142857,1.0000000000
decision_tree,决策树,0.0416666667,0.8333333333,0.7154811715
decision_tree,决策树,0.0555555556,0.8571428571,0.5277777778
decision_tree,决策树,0.0694444444,0.9047619048,0.4014084507
decision_tree,决策树,0.0972222222,0.9047619048,0.2953367876
decision_tree,决策树,1.0000000000,0.9761904762,0.0130793942
decision_tree,决策树,1.0000000000,1.0000000000,0.0000000000
random_forest,随机森林,0.0000000000,0.0000000000,inf
random_forest,随机森林,0.0000000000,0.1904761905,1.0000000000
random_forest,随机森林,0.0000000000,0.2380952381,0.9990000000
random_forest,随机森林,0.0000000000,0.2857142857,0.9980000000
random_forest,随机森林,0.0000000000,0.9285714286,0.6310095238
random_forest,随机森林,0.0138888889,0.9285714286,0.4883333333
random_forest,随机森林,0.0138888889,0.9523809524,0.3712000000
random_forest,随机森林,0.0277777778,0.9523809524,0.3552476190
random_forest,随机森林,0.0277777778,0.9761904762,0.3309619048
random_forest,随机森林,0.0694444444,0.9761904762,0.2671476190
random_forest,随机森林,0.0694444444,1.0000000000,0.2495666667
random_forest,随机森林,0.5833333333,1.0000000000,0.0102000000
random_forest,随机森林,0.6111111111,1.0000000000,0.0095333333
random_forest,随机森林,0.7916666667,1.0000000000,0.0033666667
random_forest,随机森林,0.8194444444,1.0000000000,0.0023333333
random_forest,随机森林,0.8333333333,1.0000000000,0.0022500000
random_forest,随机森林,0.8750000000,1.0000000000,0.0020000000
random_forest,随机森林,0.9305555556,1.0000000000,0.0006666667
random_forest,随机森林,1.0000000000,1.0000000000,0.0000000000
