ts_code,stock_name,quarter,quarter_index,signal_date,signal_close,observation_number,ret_5d,ret_21d,ret_63d,ret_126d,ret_252d,momentum_12_1,volatility_20d,volatility_60d,downside_volatility_60d,max_drawdown_126d,turnover_20d,turnover_60d,log_amount_20d,amihud_20d,volume_ratio_20_60,price_to_ma20,price_to_ma60,intraday_range_20d,entry_quarter_index,exit_quarter_index,entry_date,entry_open,exit_date,exit_open,forward_return,feature_non_null_count,eligible,x_ret_5d,x_ret_21d,x_ret_63d,x_ret_126d,x_ret_252d,x_momentum_12_1,x_volatility_20d,x_volatility_60d,x_downside_volatility_60d,x_max_drawdown_126d,x_turnover_20d,x_turnover_60d,x_log_amount_20d,x_amihud_20d,x_volume_ratio_20_60,x_price_to_ma20,x_price_to_ma60,x_intraday_range_20d,target_rank
000001,平安银行,2016Q1,8065,2016-03-31,1117.8900000000,303,0.0113082261,0.0529939810,-0.1416033172,-0.0289603294,-0.1619386761,-0.2041157508,0.1982569885,0.3173194117,0.2538382382,-0.3975876999,0.4735000000,0.4295000000,20.1856713314,0.0016990367,1.1022809033,0.0181713192,0.0261071130,0.0201887963,8066,8067,2016-04-01,1115.8100000000,2016-07-01,1111.7400000000,-0.0036475744,18,True,0.5000000000,0.5000000000,0.5147058824,0.4264705882,0.3676470588,0.3676470588,0.1470588235,0.2058823529,0.2058823529,0.7500000000,0.0294117647,0.0294117647,0.9411764706,0.0294117647,0.5147058824,0.3823529412,0.4264705882,0.1470588235,0.4558823529
000063,中兴通讯,2016Q1,8065,2016-03-04,206.3000000000,281,0.0505143090,0.0828259500,-0.1326830909,-0.0748464057,-0.0644415219,-0.1360029024,0.4803583830,0.4911371621,0.4095999958,-0.4808911382,0.9915000000,1.1936666667,20.0196056555,0.0044911197,0.8318974400,0.0245942349,-0.0684442839,0.0344060073,8066,8067,2016-04-07,207.4700000000,2016-07-01,196.7800000000,-0.0515255218,18,True,0.8823529412,0.6617647059,0.5882352941,0.2794117647,0.5294117647,0.4852941176,0.7500000000,0.3529411765,0.4558823529,0.5294117647,0.0735294118,0.9411764706,0.0735294118,0.9558823529,0.0735294118,0.4558823529,0.0294117647,0.5882352941,0.3088235294
000166,申万宏源,2016Q1,8065,2016-03-31,8.8900000000,283,0.0125284738,0.1002475248,-0.1990990991,-0.0357917570,-0.4323116220,-0.4840357599,0.4925934986,0.5539415097,0.4358087759,-0.5693467337,1.2815000000,1.1211666667,20.1833484783,0.0039604388,1.3207427717,0.0523823616,0.0489881807,0.0343782984,8066,8067,2016-04-01,8.8900000000,2016-07-01,8.4400000000,-0.0506186727,18,True,0.5147058824,0.7058823529,0.2500000000,0.4117647059,0.0441176471,0.0147058824,0.7941176471,0.5588235294,0.5441176471,0.2352941176,0.9411764706,0.5073529412,0.5073529412,0.5073529412,0.9264705882,0.6617647059,0.5882352941,0.5735294118,0.3235294118
000333,美的集团,2016Q1,8065,2016-03-31,81.6300000000,300,-0.0006121450,0.0539703034,-0.0382893497,0.1476170392,-0.0042693340,-0.0552573798,0.2079414043,0.4321205233,0.3371078633,-0.3777253421,0.6850000000,0.7200000000,19.9509970103,0.0025950853,0.9514740242,0.0303435741,0.0711263032,0.0281656837,8066,8067,2016-04-01,82.0000000000,2016-07-01,96.7100000000,0.1793902439,18,True,0.1911764706,0.5147058824,0.8382352941,0.7647058824,0.6617647059,0.6764705882,0.2058823529,0.2500000000,0.2500000000,0.7941176471,0.0441176471,0.0441176471,0.0588235294,0.0588235294,0.2500000000,0.5000000000,0.7058823529,0.3235294118,0.8823529412
000425,徐工机械,2016Q1,8065,2016-03-31,123.7000000000,296,0.0000000000,0.1195583311,-0.1988341969,-0.2397984267,-0.2319632435,-0.3139823668,0.3732171271,0.5527321510,0.4550534239,-0.4545504236,1.0665000000,0.9468333333,19.3662404475,0.0075945047,1.1278543862,0.0367862142,0.0549416811,0.0374941713,8066,8067,2016-04-01,123.3400000000,2016-07-01,107.6400000000,-0.1272904167,18,True,0.2132352941,0.7794117647,0.2647058824,0.0588235294,0.2500000000,0.1764705882,0.5882352941,0.5294117647,0.6323529412,0.6176470588,0.5073529412,0.0735294118,0.0294117647,0.9852941176,0.6176470588,0.5588235294,0.6176470588,0.6617647059,0.0588235294
000568,泸州老窖,2016Q1,8065,2016-03-31,609.3500000000,303,0.0111846800,0.1271318116,-0.0652277295,0.1128664049,0.0771229584,-0.0443682387,0.1937334794,0.3326422057,0.2756143302,-0.3092446815,0.9395000000,0.8210000000,19.5432070379,0.0038574172,1.1442493636,0.0446373085,0.0693834190,0.0276733934,8066,8067,2016-04-01,605.6100000000,2016-07-01,701.1300000000,0.1577252687,18,True,0.4852941176,0.8088235294,0.7794117647,0.6764705882,0.7058823529,0.6911764706,0.1323529412,0.2205882353,0.2205882353,0.8970588235,0.0588235294,0.0588235294,0.0441176471,0.0735294118,0.6764705882,0.5882352941,0.6764705882,0.3088235294,0.8529411765
000725,京东方A,2016Q1,8065,2016-03-31,8.4900000000,299,0.0107142857,0.0035460993,-0.1552238806,-0.1354378819,-0.2724935733,-0.2750642674,0.2459854674,0.4917472161,0.3739149960,-0.5085106383,1.3000000000,1.5378333333,20.4929962932,0.0017825490,0.8480587736,0.0058645815,0.0018881284,0.0215829041,8066,8067,2016-04-01,8.4900000000,2016-07-01,7.7500000000,-0.0871613663,18,True,0.4558823529,0.1323529412,0.4558823529,0.1617647059,0.2058823529,0.2205882353,0.2941176471,0.3676470588,0.3382352941,0.3823529412,0.9558823529,0.9705882353,0.9852941176,0.0441176471,0.1176470588,0.2794117647,0.2500000000,0.1911764706,0.1764705882
000776,广发证券,2016Q1,8065,2016-03-31,86.2100000000,303,0.0323314573,0.1253100117,-0.1860838369,0.1582695150,-0.3476352630,-0.4202799849,0.4787599505,0.5861650481,0.4425095437,-0.5433690335,1.4335000000,1.2225000000,21.0044464387,0.0016353885,1.1728482592,0.0807456531,0.0953885510,0.0355160684,8066,8067,2016-04-01,85.7000000000,2016-07-01,86.5400000000,0.0098016336,18,True,0.7647058824,0.7941176471,0.3529411765,0.7794117647,0.1029411765,0.1029411765,0.7352941176,0.6470588235,0.5882352941,0.2794117647,0.9705882353,0.9558823529,1.0000000000,0.0147058824,0.7352941176,0.8235294118,0.8235294118,0.6029411765,0.5735294118
000977,浪潮信息,2016Q1,8065,2016-03-31,103.1200000000,276,0.1116860716,0.2364508393,-0.2426556992,-0.0249621785,-0.0111238972,-0.2002301496,0.4421654669,0.6611820779,0.5328766095,-0.4931896727,2.7525000000,2.4113333333,20.2209510679,0.0049078242,1.1415049238,0.1551731864,0.1199443938,0.0469965624,8066,8067,2016-04-01,102.8800000000,2016-07-01,95.2800000000,-0.0738724728,18,True,0.9705882353,0.9558823529,0.1470588235,0.4558823529,0.6470588235,0.3823529412,0.7058823529,0.7941176471,0.8382352941,0.4558823529,0.9852941176,0.9852941176,0.9558823529,0.9705882353,0.6617647059,0.9411764706,0.8823529412,0.8088235294,0.1911764706
000999,华润三九,2016Q1,8065,2016-03-31,33.1400000000,303,0.0150076570,0.0819458048,-0.1398909940,-0.0531428571,-0.0868007716,-0.1559658308,0.2534819224,0.3988438279,0.3383266195,-0.3927192499,0.4090000000,0.3920000000,18.2997063814,0.0158523228,1.0445516447,0.0491990122,0.0444813313,0.0265716353,8066,8067,2016-04-01,33.0000000000,2016-07-01,34.3900000000,0.0421212121,18,True,0.5882352941,0.6470588235,0.5588235294,0.3823529412,0.4852941176,0.4705882353,0.3529411765,0.2352941176,0.2647058824,0.7794117647,0.0147058824,0.0147058824,0.0147058824,1.0000000000,0.3676470588,0.6323529412,0.5735294118,0.2794117647,0.7647058824
