trade_date,ts_code,open,close,high,low,volume,amount,amplitude_pct,pct_change,price_change,turnover_rate,stock_name
2019-07-22,688009,10.62000000,11.19000000,14.13000000,6.61000000,,923624409.00000000,67.20285970,,,,中国通号
2019-07-23,688009,8.80000000,8.93000000,9.90000000,8.53000000,,411158517.00000000,15.34154535,-20.19660411,-2.26000000,,中国通号
2019-07-24,688009,9.01000000,9.12000000,9.18000000,8.82000000,,311232979.00000000,3.94736842,2.12765957,0.19000000,,中国通号
2019-07-25,688009,9.06000000,9.53000000,9.82000000,9.02000000,,351993481.00000000,8.39454355,4.49561404,0.41000000,,中国通号
2019-07-26,688009,9.31000000,8.93000000,9.36000000,8.88000000,,231952760.00000000,5.37513998,-6.29590766,-0.60000000,,中国通号
2019-07-29,688009,9.02000000,9.20000000,9.34000000,8.97000000,,198419330.00000000,4.02173913,3.02351624,0.27000000,,中国通号
2019-07-30,688009,9.15000000,9.15000000,9.26000000,9.02000000,,180915589.00000000,2.62295082,-0.54347826,-0.05000000,,中国通号
2019-07-31,688009,9.15000000,9.25000000,9.45000000,9.11000000,,203908274.00000000,3.67567568,1.09289617,0.10000000,,中国通号
2019-08-01,688009,9.10000000,9.50000000,9.56000000,9.05000000,,288884367.00000000,5.36842105,2.70270270,0.25000000,,中国通号
2019-08-02,688009,9.27000000,11.04000000,11.60000000,9.24000000,,602930307.00000000,21.37681159,16.21052632,1.54000000,,中国通号
2019-08-05,688009,11.04000000,11.48000000,11.52000000,10.56000000,,405434993.00000000,8.36236934,3.98550725,0.44000000,,中国通号
2019-08-06,688009,11.30000000,10.95000000,12.69000000,10.47000000,,552891584.00000000,20.27397260,-4.61672474,-0.53000000,,中国通号
2019-08-07,688009,11.22000000,10.75000000,11.39000000,10.25000000,,335031891.00000000,10.60465116,-1.82648402,-0.20000000,,中国通号
2019-08-08,688009,10.65000000,10.14000000,10.79000000,10.10000000,,222879402.00000000,6.80473373,-5.67441860,-0.61000000,,中国通号
2019-08-09,688009,10.25000000,9.88000000,10.34000000,9.82000000,,192372048.00000000,5.26315789,-2.56410256,-0.26000000,,中国通号
2019-08-12,688009,9.92000000,9.47000000,9.92000000,9.26000000,,180268648.00000000,6.96937698,-4.14979757,-0.41000000,,中国通号
2019-08-13,688009,9.43000000,9.67000000,9.74000000,9.38000000,,137280454.00000000,3.72285419,2.11193242,0.20000000,,中国通号
2019-08-14,688009,9.81000000,9.59000000,9.84000000,9.56000000,,124196210.00000000,2.91970803,-0.82730093,-0.08000000,,中国通号
2019-08-15,688009,9.31000000,9.50000000,9.57000000,9.25000000,,107584436.00000000,3.36842105,-0.93847758,-0.09000000,,中国通号
2019-08-16,688009,9.50000000,9.49000000,9.66000000,9.48000000,,87541336.00000000,1.89673340,-0.10526316,-0.01000000,,中国通号
2019-08-19,688009,9.52000000,9.53000000,9.55000000,9.30000000,,115891658.00000000,2.62329486,0.42149631,0.04000000,,中国通号
2019-08-20,688009,9.54000000,9.45000000,9.58000000,9.43000000,,79522076.00000000,1.58730159,-0.83945435,-0.08000000,,中国通号
2019-08-21,688009,9.44000000,9.07000000,9.51000000,8.98000000,,149492546.00000000,5.84343991,-4.02116402,-0.38000000,,中国通号
2019-08-22,688009,9.08000000,9.03000000,9.16000000,8.90000000,,75759364.00000000,2.87929125,-0.44101433,-0.04000000,,中国通号
2019-08-23,688009,9.05000000,8.69000000,9.09000000,8.62000000,,130777270.00000000,5.40851554,-3.76522702,-0.34000000,,中国通号
2019-08-26,688009,8.58000000,8.74000000,8.90000000,8.54000000,,75613502.00000000,4.11899314,0.57537399,0.05000000,,中国通号
2019-08-27,688009,8.80000000,8.82000000,8.86000000,8.69000000,,64952498.00000000,1.92743764,0.91533181,0.08000000,,中国通号
2019-08-28,688009,8.82000000,8.72000000,8.84000000,8.69000000,,55421688.00000000,1.72018349,-1.13378685,-0.10000000,,中国通号
2019-08-29,688009,8.72000000,8.54000000,8.73000000,8.49000000,,80929017.00000000,2.81030445,-2.06422018,-0.18000000,,中国通号
2019-08-30,688009,8.58000000,8.40000000,8.61000000,8.39000000,,73268462.00000000,2.61904762,-1.63934426,-0.14000000,,中国通号
2019-09-02,688009,8.44000000,8.50000000,8.55000000,8.40000000,,52955557.00000000,1.76470588,1.19047619,0.10000000,,中国通号
2019-09-03,688009,8.51000000,9.01000000,9.19000000,8.48000000,,164310316.00000000,7.88013319,6.00000000,0.51000000,,中国通号
2019-09-04,688009,8.94000000,8.87000000,9.08000000,8.83000000,,81401129.00000000,2.81848929,-1.55382908,-0.14000000,,中国通号
2019-09-05,688009,8.91000000,8.95000000,9.10000000,8.84000000,,98591305.00000000,2.90502793,0.90191657,0.08000000,,中国通号
2019-09-06,688009,8.92000000,8.84000000,8.98000000,8.80000000,,63090891.00000000,2.03619910,-1.22905028,-0.11000000,,中国通号
2019-09-09,688009,8.90000000,8.87000000,8.93000000,8.84000000,,49933327.00000000,1.01465614,0.33936652,0.03000000,,中国通号
2019-09-10,688009,8.89000000,8.91000000,9.05000000,8.85000000,,64975353.00000000,2.24466891,0.45095829,0.04000000,,中国通号
2019-09-11,688009,8.90000000,8.80000000,8.92000000,8.78000000,,60973184.00000000,1.59090909,-1.23456790,-0.11000000,,中国通号
2019-09-12,688009,8.82000000,8.59000000,8.84000000,8.57000000,,73502447.00000000,3.14318976,-2.38636364,-0.21000000,,中国通号
2019-09-16,688009,8.61000000,8.60000000,8.70000000,8.58000000,,34154550.00000000,1.39534884,0.11641444,0.01000000,,中国通号
2019-09-17,688009,8.61000000,8.34000000,8.63000000,8.33000000,,57684077.00000000,3.59712230,-3.02325581,-0.26000000,,中国通号
2019-09-18,688009,8.39000000,8.17000000,8.41000000,8.13000000,,55203132.00000000,3.42717258,-2.03836930,-0.17000000,,中国通号
2019-09-19,688009,8.18000000,8.30000000,8.46000000,8.05000000,,57179790.00000000,4.93975904,1.59118727,0.13000000,,中国通号
2019-09-20,688009,8.41000000,8.38000000,8.49000000,8.33000000,,47033295.00000000,1.90930788,0.96385542,0.08000000,,中国通号
2019-09-23,688009,8.34000000,8.19000000,8.39000000,8.14000000,,36301003.00000000,3.05250305,-2.26730310,-0.19000000,,中国通号
2019-09-24,688009,8.18000000,8.34000000,8.43000000,8.17000000,,48891005.00000000,3.11750600,1.83150183,0.15000000,,中国通号
2019-09-25,688009,8.33000000,8.15000000,8.39000000,8.14000000,,35877991.00000000,3.06748466,-2.27817746,-0.19000000,,中国通号
2019-09-26,688009,8.15000000,7.67000000,8.19000000,7.67000000,,73466274.00000000,6.77966102,-5.88957055,-0.48000000,,中国通号
