feature,mean_importance,std_importance
x_max_drawdown_126d,0.1042970438,0.0118995339
x_ret_126d,0.0898604929,0.0098065759
x_price_to_ma60,0.0744769356,0.0078003017
x_momentum_12_1,0.0696609033,0.0077022891
x_ret_63d,0.0614753596,0.0048450814
x_price_to_ma20,0.0571931678,0.0039418135
x_downside_volatility_60d,0.0567566966,0.0049909203
x_ret_252d,0.0566731807,0.0081014360
x_intraday_range_20d,0.0543915296,0.0083536128
x_volatility_60d,0.0496651526,0.0055715631
x_ret_21d,0.0476988544,0.0037186167
x_amihud_20d,0.0471241562,0.0073121514
x_ret_5d,0.0454415296,0.0039023941
x_volatility_20d,0.0437613354,0.0045734127
x_volume_ratio_20_60,0.0404458421,0.0045159423
x_log_amount_20d,0.0385858264,0.0039878417
x_turnover_20d,0.0328849233,0.0046137061
x_turnover_60d,0.0296070702,0.0049261941
