model,model_zh,quarter_index,quarter,ts_code,stock_name,prediction_rank,weight,prediction_score,forward_return
decision_tree,决策树,8098,2024Q2,000977,浪潮信息,1,0.0333333333,0.6467932391,0.2724409449
decision_tree,决策树,8098,2024Q2,605117,德业股份,2,0.0333333333,0.6467932391,0.4626472076
decision_tree,决策树,8098,2024Q2,600600,青岛啤酒,3,0.0333333333,0.6191611946,0.1861587432
decision_tree,决策树,8098,2024Q2,603369,今世缘,4,0.0333333333,0.6191611946,0.2078807579
decision_tree,决策树,8098,2024Q2,600549,厦门钨业,5,0.0333333333,0.6191611946,0.2542177423
decision_tree,决策树,8098,2024Q2,000001,平安银行,6,0.0333333333,0.5297918416,0.2701948960
decision_tree,决策树,8098,2024Q2,000333,美的集团,7,0.0333333333,0.5297918416,0.2417428904
decision_tree,决策树,8098,2024Q2,000063,中兴通讯,8,0.0333333333,0.5297918416,0.2321751765
decision_tree,决策树,8098,2024Q2,002001,新和成,9,0.0333333333,0.5297918416,0.2349320841
decision_tree,决策树,8098,2024Q2,002353,杰瑞股份,10,0.0333333333,0.5297918416,0.0296341922
decision_tree,决策树,8098,2024Q2,002311,海大集团,11,0.0333333333,0.5297918416,0.1242414356
decision_tree,决策树,8098,2024Q2,300866,安克创新,12,0.0333333333,0.5297918416,0.3927075886
decision_tree,决策树,8098,2024Q2,300760,迈瑞医疗,13,0.0333333333,0.5297918416,0.2081370588
decision_tree,决策树,8098,2024Q2,600039,四川路桥,14,0.0333333333,0.5297918416,0.0403003202
decision_tree,决策树,8098,2024Q2,600028,中国石化,15,0.0333333333,0.5297918416,0.1500824629
decision_tree,决策树,8098,2024Q2,600025,华能水电,16,0.0333333333,0.5297918416,0.1426160338
decision_tree,决策树,8098,2024Q2,600104,上汽集团,17,0.0333333333,0.5297918416,0.0956567727
decision_tree,决策树,8098,2024Q2,600050,中国联通,18,0.0333333333,0.5297918416,0.2337514253
decision_tree,决策树,8098,2024Q2,600015,华夏银行,19,0.0333333333,0.5297918416,0.1671602501
decision_tree,决策树,8098,2024Q2,302132,中航成飞,20,0.0333333333,0.5297918416,0.3679440903
decision_tree,决策树,8098,2024Q2,001965,招商公路,21,0.0333333333,0.5297918416,0.1580502216
decision_tree,决策树,8098,2024Q2,000999,华润三九,22,0.0333333333,0.5297918416,0.2071752173
decision_tree,决策树,8098,2024Q2,000725,京东方A,23,0.0333333333,0.5297918416,0.1766250821
decision_tree,决策树,8098,2024Q2,000651,格力电器,24,0.0333333333,0.5297918416,0.2766631663
