model,model_zh,quarter_index,quarter,rank_ic,stock_count
ridge,岭回归,8098,2024Q2,-0.48572818,120
ridge,岭回归,8099,2024Q3,0.15770540,120
ridge,岭回归,8100,2024Q4,-0.05687201,120
ridge,岭回归,8101,2025Q1,0.05848323,120
ridge,岭回归,8102,2025Q2,-0.45796236,120
ridge,岭回归,8103,2025Q3,-0.00859087,120
ridge,岭回归,8104,2025Q4,-0.25644836,120
ridge,岭回归,8105,2026Q1,-0.04765703,119
decision_tree,决策树,8098,2024Q2,-0.31817723,120
decision_tree,决策树,8099,2024Q3,0.01844806,120
decision_tree,决策树,8100,2024Q4,0.03432644,120
decision_tree,决策树,8101,2025Q1,-0.07216552,120
decision_tree,决策树,8102,2025Q2,-0.42682445,120
decision_tree,决策树,8103,2025Q3,0.14213204,120
decision_tree,决策树,8104,2025Q4,-0.02333248,120
decision_tree,决策树,8105,2026Q1,0.00780319,119
random_forest,随机森林,8098,2024Q2,-0.49081186,120
random_forest,随机森林,8099,2024Q3,0.18917286,120
random_forest,随机森林,8100,2024Q4,-0.01464685,120
random_forest,随机森林,8101,2025Q1,0.14962150,120
random_forest,随机森林,8102,2025Q2,-0.49184666,120
random_forest,随机森林,8103,2025Q3,0.17315786,120
random_forest,随机森林,8104,2025Q4,-0.24411417,120
random_forest,随机森林,8105,2026Q1,-0.04497223,119
