model,model_zh,quarter_index,quarter,signal_date,entry_date,exit_date,universe_count,selected_count,gross_return,turnover,trading_cost,net_return,benchmark_return,gross_excess_return,net_excess_return
decision_tree,决策树,8098,2024Q2,2024-06-28,2024-07-01,2024-10-08,120,30,0.1931793978,1.0000000000,0.0020000000,0.1911793978,0.2560109674,-0.0628315696,-0.0648315696
decision_tree,决策树,8099,2024Q3,2024-09-30,2024-10-08,2025-01-02,120,30,-0.0760137149,0.8062353422,0.0016124707,-0.0776261856,-0.0698765916,-0.0061371233,-0.0077495940
decision_tree,决策树,8100,2024Q4,2024-12-31,2025-01-02,2025-04-01,120,30,-0.0041439843,0.7878096216,0.0015756192,-0.0057196035,-0.0119124993,0.0077685150,0.0061928958
decision_tree,决策树,8101,2025Q1,2025-03-31,2025-04-01,2025-07-01,120,30,0.0196442915,0.8355271032,0.0016710542,0.0179732373,0.0163180476,0.0033262439,0.0016551897
decision_tree,决策树,8102,2025Q2,2025-06-30,2025-07-01,2025-10-09,120,30,0.1390549793,0.7103184815,0.0014206370,0.1376343423,0.2150241578,-0.0759691785,-0.0773898155
decision_tree,决策树,8103,2025Q3,2025-09-30,2025-10-09,2026-01-15,120,30,0.0020170078,0.7543828902,0.0015087658,0.0005082420,0.0169763684,-0.0149593606,-0.0164681264
decision_tree,决策树,8104,2025Q4,2025-12-31,2026-01-05,2026-04-01,120,30,-0.0218050789,0.4294767261,0.0008589535,-0.0226640323,0.0063170543,-0.0281221332,-0.0289810867
decision_tree,决策树,8105,2026Q1,2026-03-31,2026-04-01,2026-07-01,119,30,0.0522449009,0.5283584764,0.0010567170,0.0511881840,0.0174182602,0.0348266407,0.0337699238
random_forest,随机森林,8098,2024Q2,2024-06-28,2024-07-01,2024-10-08,120,30,0.1770574833,1.0000000000,0.0020000000,0.1750574833,0.2560109674,-0.0789534841,-0.0809534841
random_forest,随机森林,8099,2024Q3,2024-09-30,2024-10-08,2025-01-02,120,30,-0.0524576306,0.4852208914,0.0009704418,-0.0534280724,-0.0698765916,0.0174189610,0.0164485192
random_forest,随机森林,8100,2024Q4,2024-12-31,2025-01-02,2025-04-01,120,30,-0.0173143620,0.8098138306,0.0016196277,-0.0189339897,-0.0119124993,-0.0054018627,-0.0070214904
random_forest,随机森林,8101,2025Q1,2025-03-31,2025-04-01,2025-07-01,120,30,0.0458348627,0.5837641118,0.0011675282,0.0446673345,0.0163180476,0.0295168151,0.0283492869
random_forest,随机森林,8102,2025Q2,2025-06-30,2025-07-01,2025-10-09,120,30,0.1189631323,0.7216025580,0.0014432051,0.1175199272,0.2150241578,-0.0960610255,-0.0975042306
random_forest,随机森林,8103,2025Q3,2025-09-30,2025-10-09,2026-01-15,120,30,0.0176383205,0.5991689706,0.0011983379,0.0164399825,0.0169763684,0.0006619520,-0.0005363859
random_forest,随机森林,8104,2025Q4,2025-12-31,2026-01-05,2026-04-01,120,30,-0.0162651924,0.7230119906,0.0014460240,-0.0177112164,0.0063170543,-0.0225822467,-0.0240282707
random_forest,随机森林,8105,2026Q1,2026-03-31,2026-04-01,2026-07-01,119,30,-0.0337558802,0.7146434857,0.0014292870,-0.0351851671,0.0174182602,-0.0511741404,-0.0526034274
ridge,岭回归,8098,2024Q2,2024-06-28,2024-07-01,2024-10-08,120,30,0.1797935136,1.0000000000,0.0020000000,0.1777935136,0.2560109674,-0.0762174538,-0.0782174538
ridge,岭回归,8099,2024Q3,2024-09-30,2024-10-08,2025-01-02,120,30,-0.0639560983,0.4837541898,0.0009675084,-0.0649236067,-0.0698765916,0.0059204933,0.0049529849
ridge,岭回归,8100,2024Q4,2024-12-31,2025-01-02,2025-04-01,120,30,-0.0274099983,0.8438858612,0.0016877717,-0.0290977701,-0.0119124993,-0.0154974991,-0.0171852708
ridge,岭回归,8101,2025Q1,2025-03-31,2025-04-01,2025-07-01,120,30,0.0108973583,0.6121106755,0.0012242214,0.0096731370,0.0163180476,-0.0054206893,-0.0066449106
ridge,岭回归,8102,2025Q2,2025-06-30,2025-07-01,2025-10-09,120,30,0.0539508786,0.8707770599,0.0017415541,0.0522093244,0.2150241578,-0.1610732792,-0.1628148333
ridge,岭回归,8103,2025Q3,2025-09-30,2025-10-09,2026-01-15,120,30,-0.0126320925,0.9391735224,0.0018783470,-0.0145104396,0.0169763684,-0.0296084610,-0.0314868080
ridge,岭回归,8104,2025Q4,2025-12-31,2026-01-05,2026-04-01,120,30,-0.0568792852,0.5723468838,0.0011446938,-0.0580239790,0.0063170543,-0.0631963395,-0.0643410333
ridge,岭回归,8105,2026Q1,2026-03-31,2026-04-01,2026-07-01,119,30,0.0415537401,0.8115811544,0.0016231623,0.0399305778,0.0174182602,0.0241354799,0.0225123176
