ts_code,stock_name,industry,price_type,source,joinquant_code
000001.SZ,平安银行,银行,前复权,TuShare Pro: daily + adj_factor,000001.XSHE
600036.SH,招商银行,银行,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,600036.XSHG
600519.SH,贵州茅台,食品饮料,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,600519.XSHG
000858.SZ,五粮液,食品饮料,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,000858.XSHE
002594.SZ,比亚迪,新能源汽车,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,002594.XSHE
300750.SZ,宁德时代,新能源汽车,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,300750.XSHE
002371.SZ,北方华创,半导体,前复权,TuShare Pro daily + TuShare legacy qfq,002371.XSHE
600584.SH,长电科技,半导体,前复权,TuShare Pro daily + TuShare legacy qfq,600584.XSHG
600031.SH,三一重工,工程机械,前复权,TuShare Pro daily + TuShare legacy qfq,600031.XSHG
000425.SZ,徐工机械,工程机械,前复权,TuShare Pro daily + TuShare legacy qfq,000425.XSHE
