trade_date,portfolio_value,strategy_return,strategy_nav,benchmark_return,benchmark_nav,exposure,cash_ratio,turnover,transaction_cost,holding_count
2019-01-02,1000000.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0
2019-01-03,1000000.0,0.0,1.0,-0.009833095440631712,0.9901669045593683,0.0,1.0,0.0,0.0,0
2019-01-04,1000000.0,0.0,1.0,0.04264067259947035,1.0323882873555152,0.0,1.0,0.0,0.0,0
2019-01-07,1000000.0,0.0,1.0,0.01784499921382986,1.0508112555317415,0.0,1.0,0.0,0.0,0
2019-01-08,1000000.0,0.0,1.0,0.000763057563794578,1.0516130850083956,0.0,1.0,0.0,0.0,0
2019-01-09,1000000.0,0.0,1.0,0.011135057380846336,1.063322857052413,0.0,1.0,0.0,0.0,0
2019-01-10,1000000.0,0.0,1.0,-0.01124188743093033,1.0513691011906945,0.0,1.0,0.0,0.0,0
2019-01-11,1000000.0,0.0,1.0,0.016573517424789665,1.068793985309164,0.0,1.0,0.0,0.0,0
2019-01-14,1000000.0,0.0,1.0,-0.007714494211810252,1.0605487802958788,0.0,1.0,0.0,0.0,0
2019-01-15,1000000.0,0.0,1.0,0.03906899455824579,1.1019833548220128,0.0,1.0,0.0,0.0,0
2019-01-16,1000000.0,0.0,1.0,-0.004254251610375725,1.097295240360154,0.0,1.0,0.0,0.0,0
2019-01-17,1000000.0,0.0,1.0,-0.017285345896402304,1.0783281125800528,0.0,1.0,0.0,0.0,0
2019-01-18,1000000.0,0.0,1.0,0.03142723495443287,1.1122169835320763,0.0,1.0,0.0,0.0,0
2019-01-21,1000000.0,0.0,1.0,0.020834827972841106,1.1353898330524395,0.0,1.0,0.0,0.0,0
2019-01-22,1000000.0,0.0,1.0,-0.010235990164739384,1.1237679938881695,0.0,1.0,0.0,0.0,0
2019-01-23,1000000.0,0.0,1.0,0.006061964048817125,1.130580235066331,0.0,1.0,0.0,0.0,0
2019-01-24,1000000.0,0.0,1.0,0.021866834114740996,1.1553024455199312,0.0,1.0,0.0,0.0,0
2019-01-25,1000000.0,0.0,1.0,0.02169615440636883,1.180368065763987,0.0,1.0,0.0,0.0,0
2019-01-28,1000000.0,0.0,1.0,0.0010583622565509486,1.1816173227736297,0.0,1.0,0.0,0.0,0
2019-01-29,1000000.0,0.0,1.0,0.0052681067629640425,1.187842208982969,0.0,1.0,0.0,0.0,0
2019-01-30,1000000.0,0.0,1.0,-0.015697044471775536,1.1691965970031113,0.0,1.0,0.0,0.0,0
2019-01-31,1000000.0,0.0,1.0,0.010936213759985835,1.1819831809153853,0.0,1.0,0.0,0.0,0
2019-02-01,1000000.0,0.0,1.0,0.03954065767088173,1.2287195732447005,0.0,1.0,0.0,0.0,0
2019-02-11,1000000.0,0.0,1.0,0.04344904529927842,1.2821062656427196,0.0,1.0,0.0,0.0,0
2019-02-12,1000000.0,0.0,1.0,0.0036966408116770764,1.2868457519892011,0.0,1.0,0.0,0.0,0
2019-02-13,1000000.0,0.0,1.0,0.022806954964297743,1.3161947851008167,0.0,1.0,0.0,0.0,0
2019-02-14,1000000.0,0.0,1.0,0.02149670816361201,1.3444886402825968,0.0,1.0,0.0,0.0,0
2019-02-15,1000000.0,0.0,1.0,-0.02873750388163273,1.3058513927636646,0.0,1.0,0.0,0.0,0
2019-02-18,1000000.0,0.0,1.0,0.0528281617669633,1.3748371213841977,0.0,1.0,0.0,0.0,0
2019-02-19,1000000.0,0.0,1.0,-0.007824238077302615,1.3640800684289744,0.0,1.0,0.0,0.0,0
2019-02-20,1000000.0,0.0,1.0,0.0014172948470205005,1.3660133720808822,0.0,1.0,0.0,0.0,0
2019-02-21,1000000.0,0.0,1.0,-0.0008013988357981172,1.3649186505548119,0.0,1.0,0.0,0.0,0
2019-02-22,1000000.0,0.0,1.0,0.032465082806883226,1.4092308475697333,0.0,1.0,0.0,0.0,0
2019-02-25,1000000.0,0.0,1.0,0.08083251267927645,1.523142517923941,0.0,1.0,0.0,0.0,0
2019-02-26,1000000.0,0.0,1.0,-0.025895603865583504,1.4836998226489553,0.0,1.0,0.0,0.0,0
2019-02-27,1000000.0,0.0,1.0,-0.01291350366124545,1.4645400595569888,0.0,1.0,0.0,0.0,0
2019-02-28,1000000.0,0.0,1.0,0.00985619014729322,1.4789748448623106,0.0,1.0,0.0,0.0,0
2019-03-01,1000000.0,0.0,1.0,0.03465064048754265,1.5302222705017536,0.0,1.0,0.0,0.0,0
2019-03-04,1000000.0,0.0,1.0,0.033506535685002406,1.581494717614306,0.0,1.0,0.0,0.0,0
2019-03-05,1000000.0,0.0,1.0,0.022140206923239803,1.6165093379102973,0.0,1.0,0.0,0.0,0
2019-03-06,1000000.0,0.0,1.0,0.0026814769800159177,1.6208439704878843,0.0,1.0,0.0,0.0,0
2019-03-07,1000000.0,0.0,1.0,-0.029438663142828937,1.573128490833606,0.0,1.0,0.0,0.0,0
2019-03-08,1000000.0,0.0,1.0,-0.01836080891634425,1.5442445792125532,0.0,1.0,0.0,0.0,0
2019-03-11,1000000.0,0.0,1.0,0.027367169554894166,1.5865061824460895,0.0,1.0,0.0,0.0,0
2019-03-12,1000000.0,0.0,1.0,0.022750005020066154,1.622599206061104,0.0,1.0,0.0,0.0,0
2019-03-13,1000000.0,0.0,1.0,-0.020549271653280764,1.5892559741913568,0.0,1.0,0.0,0.0,0
2019-03-14,1000000.0,0.0,1.0,0.007614431803506949,1.601357255425153,0.0,1.0,0.0,0.0,0
2019-03-15,1000000.0,0.0,1.0,0.020390483748562883,1.6340097045175428,0.0,1.0,0.0,0.0,0
2019-03-18,1000000.0,0.0,1.0,0.051743078126291295,1.7185583963175122,0.0,1.0,0.0,0.0,0
2019-03-19,1000000.0,0.0,1.0,-0.010741525430596366,1.7000984575995026,0.0,1.0,0.0,0.0,0
2019-03-20,1000000.0,0.0,1.0,-0.004333012767756305,1.6927319092762811,0.0,1.0,0.0,0.0,0
2019-03-21,1000000.0,0.0,1.0,-0.0021978655657099886,1.6890115121009042,0.0,1.0,0.0,0.0,0
2019-03-22,1000000.0,0.0,1.0,0.009607212555760292,1.7052382047067836,0.0,1.0,0.0,0.0,0
2019-03-25,1000000.0,0.0,1.0,-0.02367627984553037,1.664864507768856,0.0,1.0,0.0,0.0,0
2019-03-26,1000000.0,0.0,1.0,-0.023212759926685155,1.6262184076395587,0.0,1.0,0.0,0.0,0
2019-03-27,1000000.0,0.0,1.0,0.014236646784828744,1.6493703047041097,0.0,1.0,0.0,0.0,0
2019-03-28,1000000.0,0.0,1.0,-0.00342183484987294,1.6437264319151277,0.0,1.0,0.0,0.0,0
2019-03-29,1000000.0,0.0,1.0,0.05355164900527334,1.731750692857737,0.0,1.0,0.0,0.0,0
2019-04-01,1000000.0,0.0,1.0,0.02559724930348859,1.7760787470743058,0.0,1.0,0.0,0.0,0
2019-04-02,1000000.0,0.0,1.0,-0.00557883976685416,1.7661702883310633,0.0,1.0,0.0,0.0,0
2019-04-03,1000000.0,0.0,1.0,0.004651962982839852,1.774386447133771,0.0,1.0,0.0,0.0,0
2019-04-04,1000000.0,0.0,1.0,0.02417315905622299,1.817278972947542,0.0,1.0,0.0,0.0,0
2019-04-08,1000000.0,0.0,1.0,-0.0012248846075122,1.815053015906023,0.0,1.0,0.0,0.0,0
2019-04-09,1000000.0,0.0,1.0,0.013789642557139048,1.8400819482176243,0.0,1.0,0.0,0.0,0
2019-04-10,1000000.0,0.0,1.0,0.00807828849298985,1.854946661046069,0.0,1.0,0.0,0.0,0
2019-04-11,1000000.0,0.0,1.0,-0.037649412412680806,1.7851090092008202,0.0,1.0,0.0,0.0,0
2019-04-12,1000000.0,0.0,1.0,0.000991047280927837,1.7868781366305484,0.0,1.0,0.0,0.0,0
