trade_date,symbol,side,quantity,execution_price,gross_value,fee,reason,realized_return,holding_days
2019-08-01,000858.SZ,buy,3100,95.54544999999999,296190.89499999996,88.85726849999998,rebalance_entry,,0
2019-08-01,600584.SH,buy,20500,13.213199999999997,270870.5999999999,81.26117999999997,rebalance_entry,,0
2019-08-01,600031.SH,buy,28100,11.636624999999999,326989.1625,98.09674874999999,rebalance_entry,,0
2019-09-02,000858.SZ,sell,500,116.80308000000001,58401.54,46.721232,rebalance_reduce,0.22212046293281862,32
2019-09-02,600584.SH,sell,20500,14.07591,288556.155,230.84492400000002,rebalance_exit,0.0649720350446501,32
2019-09-02,600031.SH,sell,28100,10.993995,308931.2595,247.14500759999999,rebalance_exit,-0.05550812278793882,32
2019-09-02,600519.SH,buy,300,881.6107299999999,264483.219,79.34496569999999,rebalance_entry,,0
2019-09-02,000001.SZ,buy,31300,11.1237201553148,348172.44086135324,104.45173225840597,rebalance_entry,,0
2019-10-08,000001.SZ,sell,31300,12.239103962361877,383083.95402192674,306.4671632175414,rebalance_exit,0.09994077174947669,36
2019-10-08,000858.SZ,sell,2600,105.11478,273298.428,218.6387424,rebalance_exit,0.09982479567046854,68
2019-10-08,600584.SH,buy,12700,16.696679999999997,212047.83599999995,63.61435079999998,rebalance_entry,,0
2019-10-08,600031.SH,buy,35300,11.746734999999997,414659.7454999999,124.39792364999995,rebalance_entry,,0
2019-11-01,600031.SH,sell,35300,10.954035,386677.43549999996,309.3419484,trailing_stop,-0.06776225265424962,24
2019-11-01,600584.SH,sell,700,17.61237,12328.659,11.164329500000001,rebalance_reduce,0.054526281490566486,24
2019-11-01,600519.SH,buy,100,922.6617399999999,92266.17399999998,27.679852199999992,rebalance_add,,0
2019-11-01,000001.SZ,buy,28000,12.853203147660565,359889.6881344958,107.96690644034874,rebalance_entry,,0
2019-11-26,600584.SH,sell,12000,17.87211,214465.31999999998,171.57225599999998,trailing_stop,0.07007800203438652,49
2019-12-02,000001.SZ,sell,28000,12.042964475785563,337203.00532199576,269.7624042575966,trailing_stop,-0.06331888388647511,31
2019-12-02,600519.SH,sell,400,858.0810600000001,343232.42400000006,274.58593920000004,rebalance_exit,-0.03817780243720348,91
2019-12-02,300750.SZ,buy,9000,28.308279999999996,254774.51999999996,76.43235599999998,rebalance_entry,,0
2019-12-02,600584.SH,buy,15700,20.019999999999996,314313.99999999994,94.29419999999998,rebalance_entry,,0
2019-12-02,002371.SZ,buy,6200,55.46240699999999,343866.92339999997,103.16007701999999,rebalance_entry,,0
2019-12-24,002371.SZ,sell,6200,58.896045,365155.479,292.1243832,trailing_stop,0.06159080844714038,22
2019-12-24,600584.SH,sell,15700,20.79918,326547.126,261.23770079999997,trailing_stop,0.03860849737086891,22
2020-01-02,300750.SZ,sell,2700,38.80116,104763.13200000001,83.8105056,rebalance_reduce,0.37025361989697325,31
2020-01-02,002371.SZ,buy,5300,62.973910999999994,333761.72829999996,100.12851848999998,rebalance_entry,,0
2020-01-02,600584.SH,buy,20800,21.321299999999997,443483.0399999999,133.04491199999995,rebalance_entry,,0
2020-02-03,002371.SZ,sell,200,76.189734,15237.9468,12.6189734,rebalance_reduce,0.20949902468054704,32
2020-02-03,600584.SH,sell,20800,22.79718,474181.34400000004,379.3450752,rebalance_exit,0.0689002498501905,32
2020-02-03,300750.SZ,buy,500,49.63959,24819.795,7.445938499999999,rebalance_add,,0
2020-02-03,002594.SZ,buy,29800,15.125109999999998,450728.27799999993,135.21848339999997,rebalance_entry,,0
2020-02-04,002371.SZ,sell,5100,77.559363,395552.7513,316.44220104,trailing_stop,0.23124165131413243,33
2020-02-17,300750.SZ,sell,6800,61.99794,421585.992,337.2687936,trailing_stop,1.074500345479342,77
2020-03-02,002594.SZ,sell,29800,19.00098,566229.2039999999,452.98336319999987,trailing_stop,0.2558772409308314,28
2020-03-02,002371.SZ,buy,5500,109.98387399999999,604911.3069999999,181.47339209999996,rebalance_entry,,0
2020-03-02,300750.SZ,buy,10700,56.446389999999994,603976.3729999999,181.19291189999996,rebalance_entry,,0
2020-03-05,002371.SZ,sell,5500,96.428475,530356.6125,424.28529000000003,trailing_stop,-0.12351191472433509,3
2020-03-10,300750.SZ,sell,10700,53.456489999999995,571984.443,457.58755439999993,trailing_stop,-0.05325286767424431,8
2020-04-01,002594.SZ,buy,27900,17.13712,478125.648,143.43769439999997,rebalance_entry,,0
2020-04-01,002371.SZ,buy,5000,82.830748,414153.74,124.24612199999999,rebalance_entry,,0
2020-04-01,300750.SZ,buy,7800,47.71767,372197.826,111.65934779999999,rebalance_entry,,0
2020-04-14,300750.SZ,sell,7800,44.79516,349402.248,279.5217984,trailing_stop,-0.06152740730309558,13
2020-04-14,002371.SZ,sell,5000,83.108808,415544.04,332.435232,trailing_stop,0.003056049127426075,13
2020-05-06,002594.SZ,sell,27900,16.94304,472710.816,378.1686528,rebalance_exit,-0.011621636983561223,35
2020-05-06,600031.SH,buy,24900,17.112094999999997,426091.1654999999,127.82734964999996,rebalance_entry,,0
2020-05-06,600519.SH,buy,500,992.73174,496365.87,148.90976099999997,rebalance_entry,,0
2020-05-06,000425.SZ,buy,65700,4.410405999999999,289763.67419999995,86.92910225999998,rebalance_entry,,0
2020-05-22,000425.SZ,sell,65700,4.961034000000001,325939.93380000006,260.75194704,trailing_stop,0.12451010998968215,16
2020-05-25,600031.SH,sell,24900,16.318665,406334.7585,325.06780679999997,trailing_stop,-0.046652623846502594,19
2020-06-01,000858.SZ,buy,3900,125.60547999999999,489861.3719999999,146.95841159999995,rebalance_entry,,0
2020-06-01,600584.SH,buy,8000,28.828799999999998,230630.4,69.18911999999999,rebalance_entry,,0
2020-06-15,600584.SH,sell,8000,26.4735,211788.0,169.4304,trailing_stop,-0.0819749579621617,14
2020-07-01,600519.SH,sell,500,1224.54423,612272.115,489.81769199999997,rebalance_exit,0.2331397572791698,56
2020-07-01,000858.SZ,sell,500,148.59126,74295.63,59.436504,rebalance_reduce,0.18264502465340415,30
2020-07-01,300750.SZ,buy,6500,78.64856999999998,511215.70499999984,153.36471149999994,rebalance_entry,,0
2020-07-01,600584.SH,buy,13000,30.630599999999998,398197.8,119.45933999999998,rebalance_entry,,0
2020-07-16,600584.SH,sell,13000,43.60635,566882.5499999999,453.5060399999999,trailing_stop,0.42319353908818247,15
2020-07-17,000858.SZ,sell,3400,172.44738,586321.0920000001,469.0568736,trailing_stop,0.3725170374860203,46
2020-07-17,300750.SZ,sell,6500,88.77114,577012.41,461.609928,trailing_stop,0.12836783485073555,16
2020-08-03,000858.SZ,buy,3800,195.9958,744784.04,223.43521199999998,rebalance_entry,,0
2020-08-03,600584.SH,buy,9900,44.84479999999999,443963.5199999999,133.18905599999997,rebalance_entry,,0
2020-08-03,300750.SZ,buy,5100,98.32822999999999,501473.97299999994,150.44219189999995,rebalance_entry,,0
2020-08-12,300750.SZ,sell,5100,90.36954,460884.654,368.7077232,trailing_stop,-0.08121566645896738,9
2020-08-12,600584.SH,sell,9900,42.5574,421318.26,337.05460800000003,trailing_stop,-0.05129164119324181,9
2020-09-01,000858.SZ,sell,800,214.8849,171907.91999999998,137.526336,rebalance_reduce,0.09604621049961692,29
2020-09-01,300750.SZ,buy,4700,94.22412999999999,442853.41099999996,132.85602329999998,rebalance_entry,,0
2020-09-01,002594.SZ,buy,23800,26.19617,623468.846,187.0406538,rebalance_entry,,0
2020-09-08,300750.SZ,sell,4700,82.09782000000001,385859.7540000001,308.6878032000001,trailing_stop,-0.12895775168645396,7
2020-09-10,000858.SZ,sell,3000,197.42238,592267.14,473.813712,trailing_stop,0.006976532398578872,38
2020-09-10,002594.SZ,sell,23800,26.43354,629118.252,503.29460159999996,trailing_stop,0.008758620680241025,9
2020-10-09,002594.SZ,buy,7900,38.24820999999999,302160.85899999994,90.64825769999997,rebalance_entry,,0
2020-10-09,600031.SH,buy,25400,23.455431999999995,595767.9727999999,178.73039183999995,rebalance_entry,,0
2020-10-09,000858.SZ,buy,3500,202.82261999999997,709879.1699999999,212.96375099999995,rebalance_entry,,0
2020-10-26,600031.SH,sell,25400,21.890088,556008.2352,444.80658816000005,trailing_stop,-0.06701684526138463,17
2020-11-02,000858.SZ,sell,3500,224.46531,785628.585,628.5028679999999,rebalance_exit,0.10637556404122561,24
2020-11-02,002594.SZ,buy,1300,50.860809999999994,66119.05299999999,19.835715899999993,rebalance_add,,0
2020-11-02,000001.SZ,buy,54800,14.114076632675815,773451.3994706346,232.03541984119036,rebalance_entry,,0
2020-11-02,300750.SZ,buy,4200,116.74662999999998,490335.8459999999,147.10075379999995,rebalance_entry,,0
2020-11-12,002594.SZ,sell,9200,53.12682,488766.744,391.0133952,trailing_stop,0.3267629920380082,34
2020-11-19,300750.SZ,sell,4200,113.1867,475384.14,380.307312,trailing_stop,-0.03078355089352125,17
2020-12-01,000001.SZ,sell,3400,15.721913347505176,53454.5053815176,42.76360430521407,rebalance_reduce,0.11358316927807555,29
2020-12-01,002594.SZ,buy,6700,53.46340999999999,358204.84699999995,107.46145409999997,rebalance_entry,,0
2020-12-01,600031.SH,buy,22600,28.770742,650218.7692,195.06563075999998,rebalance_entry,,0
2020-12-21,000001.SZ,sell,51400,14.604620013164709,750677.468676666,600.5419749413328,trailing_stop,0.03444527907557271,49
2021-01-04,300750.SZ,buy,2600,178.52834999999996,464173.7099999999,139.25211299999995,rebalance_entry,,0
2021-01-04,002594.SZ,buy,2900,60.240179999999995,174696.522,52.408956599999996,rebalance_add,,0
2021-01-04,600031.SH,buy,2800,33.195161999999996,92946.4536,27.883936079999994,rebalance_add,,0
2021-01-15,300750.SZ,sell,2600,183.65616,477506.016,382.00481279999997,trailing_stop,0.028414140813474154,11
2021-01-15,600031.SH,sell,25400,39.172788000000004,994988.8152000001,795.99105216,trailing_stop,0.33845123205565697,45
2021-01-20,002594.SZ,sell,9600,70.40952,675931.392,540.7451136,trailing_stop,0.2680182726233167,50
2021-02-01,600031.SH,buy,18000,38.050011999999995,684900.2159999999,205.47006479999996,rebalance_entry,,0
2021-02-01,300750.SZ,buy,3400,175.69552,597364.7679999999,179.20943039999997,rebalance_entry,,0
2021-02-01,002594.SZ,buy,10600,78.91883999999999,836539.7039999999,250.96191119999995,rebalance_entry,,0
2021-02-23,002594.SZ,sell,10600,73.63628999999999,780544.6739999999,624.4357392,trailing_stop,-0.06721632327238314,22
2021-02-23,300750.SZ,sell,3400,184.77504000000002,628235.136,502.5881088000001,trailing_stop,0.051362175385953,22
2021-02-23,600031.SH,sell,18000,41.070888000000004,739275.984,591.4207872000001,trailing_stop,0.07906852772796369,22
2021-03-01,000425.SZ,buy,108900,6.052046,659067.8094,197.72034281999998,rebalance_entry,,0
2021-03-01,600031.SH,buy,19500,39.751712,775158.384,232.54751519999996,rebalance_entry,,0
2021-03-01,300750.SZ,buy,4400,163.74358,720471.7520000001,216.14152560000002,rebalance_entry,,0
2021-03-08,000425.SZ,sell,108900,5.650344,615322.4615999999,492.2579692799999,trailing_stop,-0.06665458174335659,7
2021-03-09,300750.SZ,sell,4400,145.92392999999998,642065.2919999999,513.6522335999999,trailing_stop,-0.10909382859337202,8
2021-03-09,600031.SH,sell,19500,37.104858,723544.731,578.8357848,trailing_stop,-0.0668645948874933,8
2021-04-01,000425.SZ,buy,69200,6.582575999999999,455514.2591999999,136.65427775999996,rebalance_entry,,0
2021-04-01,600036.SH,buy,17800,40.63059,723224.502,216.96735059999997,rebalance_entry,,0
2021-04-01,000001.SZ,buy,46600,17.65663761740331,822799.3129709942,246.83979389129823,rebalance_entry,,0
2021-04-27,000425.SZ,sell,69200,6.199794000000001,429025.74480000004,343.22059584,trailing_stop,-0.05843326083677314,26
2021-05-06,000001.SZ,sell,46600,18.435389820010357,859089.1656124827,687.2713324899862,rebalance_exit,0.043792213506516964,35
2021-05-06,000425.SZ,buy,89000,6.382376,568031.464,170.4094392,rebalance_entry,,0
2021-05-06,300750.SZ,buy,2800,196.26606999999998,549544.9959999999,164.86349879999997,rebalance_entry,,0
2021-05-06,600036.SH,buy,3600,42.2422,152071.91999999998,45.62157599999999,rebalance_add,,0
2021-05-21,000425.SZ,sell,89000,5.810184,517106.376,413.6851008,trailing_stop,-0.08992490139099729,15
2021-06-01,600036.SH,sell,4900,47.152800000000006,231048.72000000003,184.838976,rebalance_reduce,0.15248647710461705,61
2021-06-01,000858.SZ,buy,2400,294.21392,706113.4079999999,211.83402239999995,rebalance_entry,,0
2021-07-01,600036.SH,sell,16500,43.666290000000004,720493.785,576.395028,rebalance_exit,0.06727084564073738,91
2021-07-01,000858.SZ,sell,2400,274.09563,657829.5120000001,526.2636096000001,rebalance_exit,-0.06865920561403627,30
2021-07-01,002371.SZ,buy,3600,198.25906099999997,713732.6195999999,214.11978587999994,rebalance_entry,,0
2021-07-01,002594.SZ,buy,8300,80.92084,671642.972,201.49289159999998,rebalance_entry,,0
2021-07-16,002594.SZ,sell,8300,75.68424,628179.192,502.54335360000005,trailing_stop,-0.06499312738796648,15
2021-07-28,300750.SZ,sell,2800,254.83491,713537.748,570.8301984,trailing_stop,0.2980261053541424,83
2021-08-02,002371.SZ,sell,1100,310.594095,341653.5045,273.3228036,rebalance_reduce,0.566137472610067,32
2021-08-02,002594.SZ,buy,9000,89.26917999999999,803422.6199999999,241.02678599999993,rebalance_entry,,0
2021-08-02,300750.SZ,buy,2900,289.26898,838880.042,251.66401259999998,rebalance_entry,,0
2021-08-04,002371.SZ,sell,2500,265.52820599999995,663820.5149999999,531.0564119999999,trailing_stop,0.33889755196899407,34
2021-08-13,300750.SZ,sell,2900,245.96379000000002,713294.991,570.6359928,trailing_stop,-0.14996062490661077,11
2021-09-01,002594.SZ,sell,9000,89.47044,805233.96,644.1871679999999,trailing_stop,0.0019539433197954814,30
2021-09-01,002371.SZ,buy,3700,265.71845299999995,983158.2760999998,294.9474828299999,rebalance_entry,,0
2021-09-01,300750.SZ,buy,3900,253.12286999999998,987179.193,296.15375789999996,rebalance_entry,,0
2021-09-03,002371.SZ,sell,3700,227.90586599999997,843251.7041999999,674.6013633599999,trailing_stop,-0.14256043502715876,2
2021-10-08,300750.SZ,sell,500,275.93379,137966.895,110.373516,rebalance_reduce,0.08979103583012127,37
2021-10-08,002371.SZ,buy,2100,275.90663099999995,579403.9250999999,173.82117752999994,rebalance_entry,,0
2021-10-08,000425.SZ,buy,104400,5.991985999999999,625563.3383999999,187.66900151999994,rebalance_entry,,0
