parameter,momentum_window,trend_window,top_n,stop_loss,development_cumulative_return,development_annualized_return,development_annualized_volatility,development_sharpe_ratio,development_max_drawdown,development_excess_return,development_annual_turnover,development_average_exposure,development_trade_orders,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown,validation_excess_return,validation_annual_turnover,validation_average_exposure,validation_trade_orders,paper_cumulative_return,paper_annualized_return,paper_annualized_volatility,paper_sharpe_ratio,paper_max_drawdown,paper_excess_return,paper_annual_turnover,paper_average_exposure,paper_trade_orders,shortlisted,selected
M20/T60/N3/S8,20,60,3,0.08,0.38018873899112915,0.08731442931107347,0.19411536140123187,0.5275618552484866,-0.30005105684188516,-0.5854689365644625,14.237282498708796,0.349963419384121,187,0.38764561149333243,0.1855672203350507,0.19626096937646928,0.9652512248917516,-0.1491517781867825,-0.2705352016885083,15.824302491261246,0.6154444631155497,111,0.09650728512983697,0.20590678063554257,0.26674085853559987,0.8347656987758829,-0.14069849787483601,0.020609885587584698,22.92431851236036,0.5002034950895082,36,True,True
M20/T200/N4/S16,20,200,4,0.16,0.3851609275628045,0.08833071273367255,0.24464563847802154,0.46830178791103544,-0.30258956036216755,-0.5804967479927872,11.25890419230189,0.5342605388332492,192,0.3925278113498374,0.18773270653372798,0.21166522045738392,0.918370051284963,-0.1993395365168048,-0.26565300183200335,11.936671858987077,0.7439243374565544,117,0.00021612536151249806,0.0004392715036385386,0.255310417951176,0.1296404619961652,-0.16929166236658744,-0.07568127418073978,17.57774770945503,0.6530286291820003,36,True,False
M20/T60/N2/S8,20,60,2,0.08,0.2457474988830195,0.05874684682965414,0.20821310766777756,0.37718759858148326,-0.22805621538155407,-0.7199101766725722,13.105982900761047,0.2999912605429545,135,0.3909456438267007,0.18703134057511783,0.21397366145174163,0.9073241026400737,-0.20151714694671208,-0.26723516935514,16.07332142172429,0.5345343996416101,83,0.17687132274131812,0.39232153605076747,0.2951482385837456,1.2680373122268618,-0.1486756643585404,0.10097392319906584,22.375457538711597,0.46243865057148426,29,True,False
M20/T120/N4/S16,20,120,4,0.16,0.36703195548097933,0.08461213144424229,0.2455519786861611,0.4535479079865905,-0.30877054804084714,-0.5986257200746123,11.111110315585366,0.534391147044372,193,0.3494738895051388,0.16850844814206023,0.20905610509607836,0.8495931801941506,-0.20159178173811987,-0.30870692367670194,13.675736980160591,0.7416767887290998,122,-0.09962994251032042,-0.1920736015889103,0.24632621335337193,-0.7419329942173771,-0.156174763883702,-0.1755273420525727,17.066178170505175,0.6601311475240204,34,True,False
M20/T200/N2/S8,20,200,2,0.08,0.07006680795583153,0.017749196277325963,0.2022756516833043,0.18703857921760145,-0.32196318335677343,-0.8955908675997601,12.959119445885399,0.2803291410524766,132,0.34171696248965144,0.16501369251041886,0.20727818876469867,0.8395198438081642,-0.20209881791138684,-0.3164638506921893,14.801496394417747,0.4985753131516949,78,0.16881659471761856,0.3730239246911855,0.29485326804140494,1.2218036664622107,-0.14904456297122903,0.09291919517536629,22.265753371221486,0.4560979286310303,29,True,False
M20/T200/N2/S16,20,200,2,0.16,0.22133499497177977,0.05331712291672264,0.27271863004054386,0.3257931126495675,-0.27387844823175667,-0.7443226805838119,11.495196559569228,0.48520280352416334,125,0.3830455484126951,0.18352352356966173,0.2429354591946457,0.8146393608937678,-0.25246559021815185,-0.2751352647691456,13.853631423432347,0.672476134454091,76,0.11268787178636286,0.24234616370705742,0.32274230368621687,0.832319947254456,-0.18639249714848882,0.036790472244110584,19.44529737615792,0.6081119899693725,27,True,False
M20/T200/N3/S16,20,200,3,0.16,0.6021343476250116,0.13026301371540217,0.2639580982511541,0.5952755386825291,-0.35464246578484115,-0.36352332793058006,12.003693855095149,0.5458327097902703,162,0.35518314987433075,0.17107449963416443,0.2315269285121445,0.7972689453337048,-0.24839600305528253,-0.30299766330751,13.423373974849154,0.7554826627623222,101,-8.416710678871286e-05,-0.00017104185097827074,0.28451908786638963,0.1409595550696784,-0.16236424569228092,-0.07598156664904099,16.729484582748835,0.6664076312783423,33,True,False
M20/T60/N4/S16,20,60,4,0.16,0.8542459759062218,0.17400032600546989,0.24874810513181372,0.7694475029435852,-0.24908221636434236,-0.11141169964936992,11.463935633921551,0.5633144450136687,208,0.3377176490924929,0.1632080754151184,0.22021640461036623,0.7961986727872947,-0.20023634752787312,-0.32046316408934783,13.634615321430203,0.7697970037719113,125,-0.11347964653230824,-0.2171294412503787,0.24251937541786964,-0.8871721612737312,-0.16727663849662278,-0.18937704607456052,17.925857305856937,0.652655458626232,34,True,False
M20/T120/N3/S16,20,120,3,0.16,0.6304093851489714,0.13541168863105302,0.2655885329385972,0.6103653488567817,-0.345205519381263,-0.3352482904066203,11.639858808291368,0.5441977043700272,162,0.338037790350735,0.16335270876254038,0.2233883213825207,0.7890304997080071,-0.2469698620073426,-0.32014302283110574,14.437082200213442,0.7509427638475804,102,0.004147823417551821,0.008447494257836308,0.28468474935019117,0.1710738623573231,-0.1614941136642276,-0.07174957612470045,16.034233864206634,0.6727503492341423,32,True,False
M20/T60/N3/S16,20,60,3,0.16,0.9203148311594012,0.18472732712441342,0.26901081244778274,0.7641297687736563,-0.23241697690049945,-0.04534284439619052,12.380683530967737,0.5712608427733967,170,0.32820236596038965,0.15890164449459343,0.23523547605659714,0.7439881153752127,-0.24848913116895377,-0.3299784472214511,14.46781673061191,0.7722443024403756,104,0.010630444751754453,0.02172235379180032,0.2861572170701969,0.2175155196125618,-0.17448536952084437,-0.06526695479049782,19.340031062724254,0.6554979105906499,33,True,False
M20/T60/N2/S16,20,60,2,0.16,0.5134509900977535,0.11366524674239553,0.2783036084664301,0.5249931153969506,-0.2507778535660743,-0.45220668545783815,11.55946202252461,0.49963173457287496,126,0.3446491386268187,0.1663358743321912,0.2505191034551133,0.7389722747398141,-0.2530134942644312,-0.31353167455502207,15.499446325810927,0.7038226587201631,82,0.11565267934865342,0.24908277523681122,0.32154055356245825,0.8510355000043364,-0.18495674890558444,0.039755279806401145,19.397830382043004,0.6050731576737809,27,True,False
M120/T200/N3/S16,120,200,3,0.16,0.4803650184179937,0.10728843518045195,0.28372005379640064,0.5006112417604992,-0.608675667240741,-0.48529265713759795,9.788080865360596,0.5812522793714433,159,0.2985764227510532,0.1453977252456724,0.2252972659851034,0.7141344870325135,-0.2119934729960442,-0.3596043904307875,9.786225769886098,0.7060654811900757,89,-0.07040179599755614,-0.13787980409171952,0.26188195433528594,-0.43688211188725873,-0.20311526460321283,-0.1462991955398084,15.658882557242208,0.6026699395462882,32,False,False
M20/T200/N3/S8,20,200,3,0.08,0.36995462707067084,0.08521408261255625,0.1902758456639281,0.5241562228689675,-0.30784492394162655,-0.5957030484849208,13.636019428761852,0.3331601317643905,175,0.24679128303482134,0.12143279189361134,0.18524744064829496,0.7110102067045236,-0.15161973978863752,-0.4113895301470194,14.768113135243725,0.5790210833058549,106,0.04442010415947739,0.09234374005370416,0.2560060943750924,0.47244137620571525,-0.14190836740980672,-0.031477295382774884,21.455838214788656,0.48014856646728626,37,True,False
M20/T120/N2/S16,20,120,2,0.16,0.1913168063274211,0.04652935345585574,0.2735039153291078,0.3019993715704993,-0.2939457578330522,-0.7743408692281706,11.103520513489114,0.48044743534558293,122,0.26691347803645593,0.13080064477861053,0.234588599413229,0.6415541390209184,-0.251754444273796,-0.3912673351453848,15.08337140114634,0.6834185909734227,80,0.11453201601826479,0.24653423784925277,0.3190165121577412,0.8487871932461206,-0.18304882312011517,0.03863461647601252,19.38744364816801,0.6105225133055004,27,True,False
M120/T200/N2/S12,120,200,2,0.12,0.16384295683600203,0.04020503845207157,0.26080703420791096,0.28002801664413685,-0.6055315107413576,-0.8018147187195896,11.80150452146973,0.4189412281272472,133,0.2584955105853075,0.12689043539279865,0.23031836361429717,0.6327488500454261,-0.23595063549477124,-0.39968530259653323,9.725026400006287,0.5774598594925493,63,-0.18069491418441397,-0.3330408642972539,0.23919582029721795,-1.5719724982716208,-0.1971874737519682,-0.25659231372666624,17.358046750086064,0.54983366508811,24,False,False
M20/T200/N3/S12,20,200,3,0.12,0.6444665837138654,0.137946835645115,0.23338627149909602,0.6694117248273737,-0.3010575119135519,-0.32119109184172623,12.695186688561648,0.4656002027053227,165,0.24548747965521822,0.12082331179145966,0.22066471913110894,0.6266491383789735,-0.22782260743781424,-0.4126933335266225,13.854455055071142,0.6924812393499093,103,0.08226413982646585,0.17428648344482656,0.2663491298358708,0.7354069977307286,-0.13844795512967312,0.006366740284213579,15.940457273956573,0.5738165469442988,31,True,False
M120/T200/N2/S16,120,200,2,0.16,0.7116755860589943,0.14985069089214664,0.2950600770684196,0.6195204362446465,-0.6166011908721539,-0.2539820894965974,9.080880584728549,0.526301723691758,117,0.25801329185452504,0.12666606121311075,0.23746846612328742,0.6199325669829138,-0.24999412398737342,-0.4001675213273157,7.746261324326476,0.612239013901336,59,-0.21552995142625464,-0.3894067892990004,0.24830347128632646,-1.8602932522258957,-0.23533881275147628,-0.2914273509685069,17.40493891464541,0.5911029882222383,26,False,False
M120/T200/N3/S8,120,200,3,0.08,0.18669130742282447,0.04547220356074466,0.2013863902881196,0.32063797306576397,-0.5684854005530928,-0.7789663681327672,14.894929753696385,0.33907776222330616,202,0.2190683948090093,0.10840664808346046,0.1975916652520356,0.6185647738545198,-0.1479352525161728,-0.43911241837283144,14.553162439244858,0.5165304261464333,107,0.028548915195357072,0.05887392584595075,0.2511005169722389,0.3518058253153249,-0.16297532530044057,-0.0473484843468952,19.753009708777178,0.4845555448458186,36,False,False
M120/T120/N3/S16,120,120,3,0.16,0.23899293007250821,0.05725246379019522,0.28355205315046533,0.33762476390920504,-0.6791844034384218,-0.7266647454830835,10.294899715999502,0.5887842267260611,162,0.20588766111149082,0.10216352434087428,0.2032634009571465,0.5798767164449493,-0.18831154509346226,-0.4522931520703499,10.344392568578927,0.7126162201588009,90,0.01115064252506226,0.02279141660937345,0.26923781272251124,0.21658099033222328,-0.1798276236597539,-0.06474675701719002,13.574575017892636,0.581247643239021,29,False,False
M20/T60/N3/S12,20,60,3,0.12,0.8357239070663531,0.17094237083268893,0.23906118182039898,0.7787341242209682,-0.22230790917249987,-0.12993376848923854,13.098813195591111,0.48937768223833494,175,0.22247251517428346,0.11001375126136748,0.22462185555746628,0.5763807866383733,-0.22639635258297441,-0.4357082980075573,15.256026962243329,0.7078293539035148,109,0.09069193814927012,0.19294494984528665,0.26948812451452964,0.7885603978687853,-0.1397143691898911,0.014794538607017849,18.509797627309325,0.5710707089682507,31,True,False
M20/T60/N4/S8,20,60,4,0.08,0.6471242492341491,0.13842432802790805,0.1785559025337633,0.815178370567404,-0.21237702197417319,-0.31853342632144255,13.21931945266479,0.3526327520689205,228,0.171442828854091,0.0856919867950443,0.1699418745879907,0.5686025358074336,-0.14273034927614747,-0.48673798432774973,16.00353240617172,0.5819111372927698,136,-0.05713715973274325,-0.11269526646066275,0.22186409198313178,-0.42751056784311076,-0.1319798076396902,-0.13303455927499552,20.365150905903164,0.5136571969807795,36,True,False
M120/T200/N3/S12,120,200,3,0.12,0.1894874570658176,0.04611162260645951,0.25244300377004736,0.3040547340015757,-0.579270550952719,-0.7761702184897741,12.19056281598757,0.4809003037923925,180,0.19920081848188942,0.09898373198269295,0.21271818162408687,0.5488148935043725,-0.20716377997573876,-0.4589799946999513,12.059252175676086,0.6466241687149341,97,-0.012869575660608645,-0.025980596727434024,0.26354620931431977,0.030211826046343884,-0.17940777259114815,-0.08876697520286092,17.29701651298281,0.5916277976072467,32,False,False
M20/T120/N3/S8,20,120,3,0.08,0.30083845833468303,0.07071657191631298,0.1927495885838811,0.45014702129993694,-0.340607685701103,-0.6648192172209086,13.366712815048274,0.3310240525714828,177,0.16802404980068064,0.08404450678053887,0.17850340526981462,0.5413889306210865,-0.16247012007462702,-0.4901567633811601,15.606712486796129,0.579444793175347,108,0.04746834950146872,0.0988325733072215,0.2567013037351173,0.4950223268353806,-0.14077116066349282,-0.028429050040783554,20.46837837070222,0.46307873332323646,36,True,False
M20/T200/N4/S8,20,200,4,0.08,0.43652671639031704,0.09867471085774837,0.18032435448640544,0.6116578437029278,-0.29088731887541464,-0.5291309591652746,13.128884395248637,0.3351598384314056,207,0.1469311475144126,0.07382835866593873,0.16441959507087944,0.5153951532464495,-0.14378843230437144,-0.5112496656674281,14.681129066075355,0.5730085180745382,126,0.0033287878872909626,0.006776579207887989,0.22852686276992965,0.14429690277996152,-0.14463006523425936,-0.07256861165496131,22.465837391577868,0.4711472924734907,43,True,False
M20/T200/N4/S12,20,200,4,0.12,0.3957646992750212,0.09048906870834217,0.21804697101953302,0.5058440908146932,-0.26176627178531753,-0.5698929762805705,12.021477810310177,0.4555357100850867,198,0.17035512660810648,0.08516808334515469,0.19602493793306996,0.5148816587906491,-0.2104074449470703,-0.48782568657373426,12.899118260017548,0.671187223582076,120,0.07802059883249912,0.16494817313991073,0.23251826132032785,0.7730704745070257,-0.1316210744214935,0.0021231992902468466,16.718186192145833,0.5720621308351658,35,True,False
