ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,rsi_14,macd,macd_signal,macd_hist,bb_middle_20,bb_upper_20,bb_lower_20,atr_14,atr_pct
000001.SZ,2024-01-02,9.39,9.42,9.21,9.21,9.39,-0.18,-1.9169,1158366.45,1075742.252,,0.0,0.0,0.0,,,,,
000001.SZ,2024-01-03,9.19,9.22,9.15,9.2,9.21,-0.01,-0.1086,733610.31,673673.614,,-0.0007977207977223344,-0.0001595441595444669,-0.0006381766381778675,,,,,
000001.SZ,2024-01-04,9.19,9.19,9.08,9.11,9.2,-0.09,-0.9783,864193.99,787470.082,,-0.008593112068895792,-0.001846257741414732,-0.00674685432748106,,,,,
000001.SZ,2024-01-05,9.1,9.44,9.07,9.27,9.11,0.16,1.7563,1991622.16,1852659.692,,-0.0018391523859833114,-0.001844836670328448,5.68428434513657e-06,,,,,
000001.SZ,2024-01-08,9.23,9.3,9.11,9.15,9.27,-0.12,-1.2945,1121156.19,1029006.549,,-0.006099279102949495,-0.0026957251568526575,-0.0034035539460968377,,,,,
000001.SZ,2024-01-09,9.16,9.19,9.09,9.18,9.15,0.03,0.3279,766193.88,700375.72,,-0.006974315372902495,-0.003551443200062625,-0.0034228721728398704,,,,,
000001.SZ,2024-01-10,9.16,9.19,9.09,9.09,9.18,-0.09,-0.9804,858620.91,783771.15,,-0.014759892902093341,-0.005793133140468769,-0.008966759761624572,,,,,
000001.SZ,2024-01-11,9.08,9.22,9.03,9.17,9.09,0.08,0.8801,934686.37,853890.237,,-0.014309734067103008,-0.007496453325795618,-0.00681328074130739,,,,,
000001.SZ,2024-01-12,9.13,9.27,9.11,9.19,9.17,0.02,0.2181,772582.15,711018.266,,-0.012198530033227684,-0.008436868667282032,-0.0037616613659456517,,,,,
000001.SZ,2024-01-15,9.16,9.29,9.13,9.21,9.19,0.02,0.2176,745132.66,685950.951,,-0.008809996615994464,-0.00851149425702452,-0.0002985023589699449,,,,,
000001.SZ,2024-01-16,9.19,9.35,9.16,9.34,9.21,0.13,1.4115,1438312.58,1334465.409,,0.004315606450111531,-0.0059460741155973095,0.01026168056570884,,,,,
000001.SZ,2024-01-17,9.33,9.39,9.23,9.23,9.34,-0.11,-1.1777,1482296.21,1380725.065,,0.005775089120707122,-0.003601841468336423,0.009376930589043545,,,,,
000001.SZ,2024-01-18,9.21,9.24,9.0,9.2,9.23,-0.03,-0.325,1755132.47,1597853.727,,0.004459583074924112,-0.0019895565596843162,0.006449139634608428,,,,,
000001.SZ,2024-01-19,9.16,9.2,9.1,9.17,9.2,-0.03,-0.3261,963981.42,881865.024,,0.0009849320923311922,-0.0013946588292812145,0.0023795909216124066,,,,0.18261195302126518,1.9914062488687587
000001.SZ,2024-01-22,9.16,9.26,9.04,9.1,9.17,-0.07,-0.7634,1580319.66,1449858.242,38.59011043008075,-0.007332642689954483,-0.002582255601415868,-0.004750387088538615,,,,0.1852825278054606,2.0360717341259407
000001.SZ,2024-01-23,9.05,9.18,8.96,9.16,9.1,0.06,0.6593,1135544.58,1030898.421,44.01932493448303,-0.00897937344314137,-0.0038616791697609685,-0.005117694273380401,,,,0.18776234724792762,2.049807284366022
000001.SZ,2024-01-24,9.23,9.34,9.07,9.33,9.16,0.17,1.8559,1759123.16,1620099.272,55.91247195457636,0.0033940354931729644,-0.002410536237174182,0.005804571730347146,,,,0.19363646530164708,2.0754176345299795
000001.SZ,2024-01-25,9.33,9.54,9.27,9.5,9.33,0.17,1.8221,2162513.95,2037648.413,64.12128277290691,0.02661087684791319,0.0033937463798432927,0.023217130468069898,,,,0.19909100349438652,2.0956947736251212
000001.SZ,2024-01-26,9.47,9.67,9.44,9.62,9.5,0.12,1.2632,2272287.06,2172799.799,68.5699200063243,0.05407010153498426,0.013529017410871487,0.040541084124112774,,,,0.20129878895907324,2.09250300373257
000001.SZ,2024-01-29,9.69,9.88,9.58,9.7,9.62,0.08,0.8316,2376251.84,2312173.346,71.1390937419557,0.08134932199881462,0.027093078328460113,0.054256243670354504,9.256499999999999,9.582584344917077,8.930415655082921,0.20834887546199665,2.147926551154605
000001.SZ,2024-01-30,9.61,9.7,9.49,9.5,9.7,-0.2,-2.0619,1579122.14,1515156.604,58.30710044134336,0.08584045686935049,0.038842554036638194,0.046997902832712296,9.270999999999999,9.612929817360227,8.929070182639771,0.20846681292899683,2.194387504515756
000001.SZ,2024-01-31,9.46,9.56,9.38,9.46,9.5,-0.04,-0.4211,1357217.47,1286857.397,56.12653702172759,0.08519003026513339,0.048112049282337234,0.03707798098279615,9.284,9.633822812292166,8.934177187707835,0.2064334691483542,2.1821719783124123
000001.SZ,2024-02-01,9.41,9.48,9.34,9.41,9.46,-0.05,-0.5285,1055259.87,993481.907,53.43637190150168,0.07972100622746936,0.05443384067136366,0.025287165556105697,9.299,9.64337769962644,8.95462230037356,0.20168822135204323,2.1433392279707038
000001.SZ,2024-02-02,9.42,9.47,9.07,9.27,9.41,-0.14,-1.4878,1634214.31,1520605.695,46.68854756081844,0.06335956567115097,0.05621898567132113,0.007140579999829845,9.299000000000001,9.643377699626441,8.954622300373561,0.21585334839832587,2.328515085203084
000001.SZ,2024-02-05,9.19,9.43,9.11,9.38,9.27,0.11,1.1866,1803591.9,1674566.499,51.8349972016915,0.05859365565498997,0.0566939196680549,0.001899735986935075,9.310500000000001,9.649526547633073,8.97147345236693,0.22329239494130262,2.3805159375405394
000001.SZ,2024-02-06,9.3,9.68,9.29,9.68,9.38,0.3,3.1983,1995409.54,1900324.218,62.47460726979924,0.07812357053514951,0.060979849841473824,0.017143720693675688,9.3355,9.704741113637144,8.966258886362855,0.2352000810169239,2.4297529030673957
000001.SZ,2024-02-07,9.62,9.67,9.48,9.61,9.68,-0.07,-0.7231,2062014.97,1975435.102,59.18913659293879,0.08695044321293643,0.06617396851576635,0.02077647469717009,9.3615,9.731163360369942,8.991836639630057,0.23268578951571503,2.4212881323175344
000001.SZ,2024-02-08,9.58,9.67,9.52,9.67,9.61,0.06,0.6243,1656813.84,1593505.69,61.078524993547994,0.09766152074439027,0.07247147896149114,0.02519004178289913,9.3865,9.768404438308849,9.00459556169115,0.226779661693164,2.345187814820724
000001.SZ,2024-02-19,9.76,9.81,9.65,9.81,9.67,0.14,1.4478,1605242.65,1564088.445,65.13456323151149,0.11610852996995114,0.08119888916318314,0.03490964080676799,9.4175,9.8299984848457,9.005001515154301,0.222009685857938,2.26309567643158
000001.SZ,2024-02-20,9.79,9.84,9.73,9.82,9.81,0.01,0.1019,1123563.98,1098987.813,65.41182946925858,0.1300358616427406,0.09096628365909465,0.039069577983645964,9.448,9.884146764289268,9.011853235710733,0.2140089940109424,2.1793176579525704
000001.SZ,2024-02-21,9.78,10.8,9.77,10.8,9.82,0.98,9.9796,5055284.6,5295259.397,81.19483654300504,0.21764233675227374,0.11630149427773047,0.10134084247454327,9.520999999999999,10.25049023297094,8.791509767029059,0.27229406586730376,2.5212413506231828
