ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,rsi_14,macd,macd_signal,macd_hist,bb_middle_20,bb_upper_20,bb_lower_20,atr_14,atr_pct
600031.SH,2025-01-02,16.48,16.48,15.69,15.77,16.48,-0.71,-4.3083,853894.28,1368558.133,,0.0,0.0,0.0,,,,,
600031.SH,2025-01-03,15.85,16.0,15.55,15.6,15.77,-0.17,-1.078,534033.71,842151.57,,-0.01356125356125304,-0.002712250712250608,-0.01084900284900243,,,,,
600031.SH,2025-01-06,15.6,15.71,15.42,15.58,15.6,-0.02,-0.1282,454873.82,707452.833,,-0.02562706471538334,-0.007295213512877155,-0.018331851202506185,,,,,
600031.SH,2025-01-07,15.59,15.64,15.43,15.52,15.58,-0.06,-0.3851,393682.19,611079.078,,-0.039574614027417354,-0.013751093615785196,-0.025823520411632158,,,,,
600031.SH,2025-01-08,15.57,15.71,15.26,15.57,15.52,0.05,0.3222,573354.64,888892.453,,-0.046062584411178165,-0.020213391774863792,-0.025849192636314373,,,,,
600031.SH,2025-01-09,15.51,15.56,15.32,15.37,15.57,-0.2,-1.2845,357776.55,551312.715,,-0.06657523830829959,-0.029485761081550953,-0.037089477226748636,,,,,
600031.SH,2025-01-10,15.42,15.71,15.38,15.44,15.37,0.07,0.4554,467712.6,727772.401,,-0.0763036681330167,-0.0388493424918441,-0.0374543256411726,,,,,
600031.SH,2025-01-13,15.39,15.7,15.23,15.31,15.44,-0.13,-0.842,384318.12,592609.973,,-0.09342647021069617,-0.04976476803561452,-0.04366170217508165,,,,,
600031.SH,2025-01-14,15.31,15.85,15.3,15.8,15.31,0.49,3.2005,590312.54,925532.19,,-0.06668876277627511,-0.05314956698374664,-0.01353919579252847,,,,,
600031.SH,2025-01-15,15.8,15.8,15.38,15.4,15.8,-0.4,-2.5316,543389.11,843185.8,,-0.0768892625039932,-0.05789750608779595,-0.018991756416197242,,,,,
600031.SH,2025-01-16,15.49,15.8,15.44,15.54,15.4,0.14,0.9091,542228.15,847230.101,,-0.07283678494019341,-0.06088536185827545,-0.011951423081917961,,,,,
600031.SH,2025-01-17,15.49,15.54,15.31,15.42,15.54,-0.12,-0.7722,426413.35,657250.287,,-0.07840436764730185,-0.06438916301608073,-0.01401520463122112,,,,,
600031.SH,2025-01-20,15.5,16.06,15.5,15.92,15.42,0.5,3.2425,963356.38,1530045.633,,-0.041986896917572736,-0.05990870979637914,0.017921812878806405,,,,,
600031.SH,2025-01-21,16.05,16.23,15.88,16.21,15.92,0.29,1.8216,629239.09,1016548.149,,0.010157695784267062,-0.04589542868024991,0.05605312446451697,,,,0.5472437505169281,3.3759639143548923
600031.SH,2025-01-22,16.21,16.33,16.0,16.1,16.21,-0.11,-0.6786,479082.6,772633.831,42.3898575546954,0.042121035413522634,-0.0282921358614954,0.07041317127501803,,,,0.5317263397657188,3.302648073078999
600031.SH,2025-01-23,16.21,16.26,16.02,16.07,16.1,-0.03,-0.1863,421624.11,679202.056,41.903981446402824,0.06429036377931041,-0.009775635933334238,0.07406599971264465,,,,0.5108887440681676,3.1791458871696805
600031.SH,2025-01-24,16.06,16.29,16.01,16.2,16.07,0.13,0.809,361406.49,585630.964,44.85373976126671,0.09129721234191557,0.010438933721715725,0.08085827862019984,,,,0.49439669092044125,3.051831425434823
600031.SH,2025-01-27,16.29,16.34,16.1,16.1,16.2,-0.1,-0.6173,302234.69,488912.395,43.04328849606104,0.10343879212923213,0.02903890540321901,0.07439988672601311,,,,0.47622549871183817,2.957922352247442
600031.SH,2025-02-05,16.1,16.17,15.78,15.81,16.1,-0.29,-1.8012,450016.98,713063.047,38.224748209464124,0.08863873307793746,0.0409588709381627,0.04767986213977476,,,,0.4700665345181356,2.973222862227297
600031.SH,2025-02-06,15.79,15.87,15.58,15.76,15.81,-0.05,-0.3163,553644.78,869586.767,37.44639494058847,0.07204451321634764,0.04717599939379969,0.024868513822547948,15.7245,16.295515761603827,15.153484238396173,0.4572046391954116,2.901044664945505
600031.SH,2025-02-07,15.78,16.8,15.64,16.75,15.76,0.99,6.2817,1304535.45,2129487.598,56.38408430931186,0.1371966826898472,0.0651801360530092,0.072016546636838,15.773500000000002,16.49901430034149,15.047985699658515,0.5074043078243108,3.029279449697378
600031.SH,2025-02-10,16.71,17.05,16.62,16.99,16.75,0.24,1.4328,983276.22,1664804.717,59.57888428306574,0.20582363389911507,0.09330883562223038,0.11251479827688468,15.843,16.735750805096245,14.950249194903753,0.5018754286940028,2.953946019387892
600031.SH,2025-02-11,16.98,17.06,16.84,16.88,16.99,-0.11,-0.6474,492631.29,833681.769,57.49998922126986,0.24847069101293684,0.12434120670037169,0.12412948431256515,15.908000000000001,16.898628083591415,14.91737191640859,0.481741469501574,2.8539186581846803
600031.SH,2025-02-12,16.84,17.12,16.76,16.99,16.88,0.11,0.6517,507705.32,860584.288,59.03918366973559,0.2878269814466954,0.15703836164963644,0.13078861979705894,15.9815,17.060282183760926,14.902717816239075,0.47304565025146156,2.7842592716389736
600031.SH,2025-02-13,17.0,17.2,16.9,16.96,16.99,-0.03,-0.1766,580842.53,990681.003,58.417795663671015,0.3129884399751752,0.18822837731474423,0.12476006266043099,16.051,17.192085448158895,14.909914551841101,0.4606852466620715,2.7163045204131575
600031.SH,2025-02-14,16.99,17.48,16.98,17.46,16.96,0.5,2.9481,1061950.65,1842907.122,65.02494805281506,0.3690210534664331,0.22438691254508203,0.14463414092135107,16.155499999999996,17.40557959746569,14.905420402534304,0.4649220147576378,2.6627835896771925
600031.SH,2025-02-17,17.45,17.52,17.13,17.36,17.46,-0.1,-0.5727,705108.88,1219254.121,62.873220884198076,0.4007386731138105,0.2596572646588277,0.1410814084549828,16.2515,17.560549655284316,14.942450344715684,0.4595704422749494,2.64729517439487
600031.SH,2025-02-18,17.32,17.46,16.93,17.04,17.36,-0.32,-1.8433,703328.25,1209116.572,56.4373348101943,0.39549477200433714,0.2868247661279296,0.10867000587640752,16.338,17.61500587312666,15.060994126873343,0.464601124969596,2.726532423530493
600031.SH,2025-02-19,17.07,17.57,17.04,17.45,17.04,0.41,2.4061,857545.07,1495324.78,61.82869348657904,0.41958579225185133,0.313376971352714,0.10620882089913736,16.4205,17.75950672141703,15.081493278582974,0.4692724731860535,2.6892405340174985
600031.SH,2025-02-20,17.48,17.7,17.29,17.65,17.45,0.2,1.1461,793701.63,1391269.821,64.1589076770012,0.44963333469931044,0.3406282440220333,0.10900509067727715,16.532999999999998,17.888125086477245,15.177874913522748,0.4650387251013354,2.6347803121888695
600031.SH,2025-02-21,17.6,17.76,17.24,17.68,17.65,0.03,0.17,979194.6,1715682.115,64.50889656987016,0.47044399234675893,0.36659139368697846,0.10385259865978047,16.64,18.00252706395138,15.27747293604862,0.46896453045124026,2.652514312507015
600031.SH,2025-02-24,17.7,17.95,17.65,17.84,17.68,0.16,0.905,695859.41,1239761.456,66.3937455028857,0.4941509863173046,0.39210331221304373,0.10204767410426085,16.761000000000003,18.09824941577851,15.423750584221493,0.45689563541900885,2.5610741895684352
600031.SH,2025-02-25,17.72,18.18,17.61,17.9,17.84,0.06,0.3363,805857.16,1447158.243,67.09937566534788,0.5118798165071361,0.41605861307186226,0.09582120343527384,16.86,18.226396721307527,15.493603278692472,0.46497451860336536,2.5976230089573487
