ts_code,stock_name,industry,trade_date,open,close,high,low,vol,amount,amplitude,pct_chg,change,turnover_rate,pre_close,price_type,source,adj_factor
300750.SZ,宁德时代,新能源汽车,2019-01-02,20.45,20.13,20.85,20.05,43941,326259376.0,3.96,-0.35,-0.07,2.02,,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2019-01-03,19.49,20.22,20.62,19.49,44949,332238736.0,5.61,0.45,0.09,2.07,20.13,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2019-01-04,19.94,21.96,22.12,19.89,79053,602100016.0,11.03,8.61,1.74,3.64,20.22,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2019-01-07,21.95,22.22,22.34,21.59,59696,460577312.0,3.42,1.18,0.26,2.75,21.96,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2019-01-08,22.1,23.28,23.34,22.09,85750,674107584.0,5.63,4.77,1.06,3.95,22.22,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2019-01-09,21.98,22.53,22.65,20.97,123799,952624096.0,7.22,-3.22,-0.75,5.7,23.28,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2019-01-10,22.34,21.58,22.45,21.44,83943,644858368.0,4.48,-4.22,-0.95,3.86,22.53,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2019-01-11,21.76,21.03,21.84,20.76,61367,463701248.0,5.0,-2.55,-0.55,2.82,21.58,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2019-01-14,21.04,21.47,21.61,20.48,48488,366505968.0,5.37,2.09,0.44,2.23,21.03,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2019-01-15,21.43,22.19,22.25,20.79,58736,448317232.0,6.8,3.35,0.72,2.7,21.47,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
