ts_code,stock_name,industry,trade_date,open,close,high,low,vol,amount,amplitude,pct_chg,change,turnover_rate,pre_close,price_type,source,adj_factor
600519.SH,贵州茅台,食品饮料,2019-01-02,336.18,325.18,338.2,321.21,62286,3754387984.0,5.37,2.84,8.97,0.5,,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2019-01-03,326.17,316.2,327.86,312.0,30977,1838179168.0,4.88,-2.76,-8.98,0.25,325.18,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2019-01-04,313.48,328.2,333.87,308.22,37683,2258501488.0,8.11,3.8,12.0,0.3,316.2,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2019-01-07,334.2,331.69,338.2,328.42,34750,2105981456.0,2.98,1.06,3.49,0.28,328.2,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2019-01-08,331.7,330.99,338.2,326.48,28838,1750413216.0,3.53,-0.21,-0.7,0.23,331.69,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2019-01-09,336.19,342.32,352.36,335.24,49892,3084214784.0,5.17,3.42,11.33,0.4,330.99,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2019-01-10,343.33,344.97,351.08,336.45,29044,1797683136.0,4.27,0.77,2.65,0.23,342.32,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2019-01-11,351.2,362.08,363.2,344.95,38884,2445929488.0,5.29,4.96,17.11,0.31,344.97,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2019-01-14,359.2,350.8,362.09,347.75,25649,1606308128.0,3.96,-3.12,-11.28,0.2,362.08,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2019-01-15,354.06,386.18,387.7,351.2,55765,3613919072.0,10.4,10.09,35.38,0.44,350.8,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2019-01-16,384.2,387.3,391.85,379.8,42084,2775103936.0,3.12,0.29,1.12,0.34,386.18,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2019-01-17,389.2,385.45,395.9,382.0,30285,2004454112.0,3.59,-0.48,-1.85,0.24,387.3,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2019-01-18,391.2,409.81,416.4,387.7,68609,4647515904.0,7.45,6.32,24.36,0.55,385.45,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
