ts_code,stock_name,industry,trade_date,open,close,high,low,vol,amount,pre_close,change,pct_chg,amplitude,turnover_rate,price_type,source,adj_factor
600584.SH,长电科技,半导体,2019-01-02,7.49,7.43,7.57,7.4,83631.55,69157.776,,,,,,前复权,TuShare Pro daily + TuShare legacy qfq,
600584.SH,长电科技,半导体,2019-01-03,7.41,7.39,7.58,7.38,99275.76,81892.93,7.43,-0.040000000000000036,-0.538358008075368,2.691790040376853,,前复权,TuShare Pro daily + TuShare legacy qfq,
600584.SH,长电科技,半导体,2019-01-04,7.35,7.59,7.64,7.24,161527.91,133730.917,7.39,0.20000000000000018,2.706359945872805,5.412719891745596,,前复权,TuShare Pro daily + TuShare legacy qfq,
600584.SH,长电科技,半导体,2019-01-07,7.64,7.89,7.95,7.57,169587.1,145885.429,7.59,0.2999999999999998,3.9525691699604737,5.006587615283266,,前复权,TuShare Pro daily + TuShare legacy qfq,
600584.SH,长电科技,半导体,2019-01-08,7.87,7.8,7.88,7.76,92375.49,79556.385,7.89,-0.08999999999999986,-1.1406844106463865,1.5209125475285186,,前复权,TuShare Pro daily + TuShare legacy qfq,
600584.SH,长电科技,半导体,2019-01-09,7.84,8.06,8.34,7.78,294507.13,261958.526,7.8,0.2600000000000007,3.3333333333333437,7.179487179487174,,前复权,TuShare Pro daily + TuShare legacy qfq,
600584.SH,长电科技,半导体,2019-01-10,8.0,7.93,8.15,7.88,133074.91,117112.152,8.06,-0.13000000000000078,-1.6129032258064613,3.349875930521097,,前复权,TuShare Pro daily + TuShare legacy qfq,
600584.SH,长电科技,半导体,2019-01-11,7.92,7.97,8.03,7.83,97214.29,84995.652,7.93,0.040000000000000036,0.5044136191677095,2.522068095838579,,前复权,TuShare Pro daily + TuShare legacy qfq,
600584.SH,长电科技,半导体,2019-01-14,7.89,7.77,7.98,7.76,93856.99,81117.594,7.97,-0.20000000000000018,-2.509410288582181,2.7603513174404095,,前复权,TuShare Pro daily + TuShare legacy qfq,
600584.SH,长电科技,半导体,2019-01-15,7.76,7.92,7.94,7.73,125560.46,108558.972,7.77,0.15000000000000036,1.9305019305019266,2.7027027027027026,,前复权,TuShare Pro daily + TuShare legacy qfq,
