ts_code,stock_name,industry,trade_date,open,close,high,low,vol,amount,amplitude,pct_chg,change,turnover_rate,pre_close,price_type,source,adj_factor,short_ma,long_ma,target_position,signal,position,execution,market_return,gross_strategy_return,turnover,transaction_cost,strategy_return,strategy_equity,benchmark_equity,drawdown,short_window,long_window
000858.SZ,五粮液,食品饮料,2019-01-02,25.32,23.66,25.52,23.55,232267,1174716784.0,8.01,-3.82,-0.94,0.61,,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,,,0,HOLD,0,HOLD,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,5,15
000858.SZ,五粮液,食品饮料,2019-01-03,23.76,22.68,23.76,21.99,278030,1356928384.0,7.48,-4.14,-0.98,0.73,23.66,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,,,0,HOLD,0,HOLD,-0.041420118343195256,-0.0,0.0,0.0,-0.0,100000.0,95857.98816568048,0.0,5,15
000858.SZ,五粮液,食品饮料,2019-01-04,21.95,23.26,23.5,21.72,241498,1185479552.0,7.85,2.56,0.58,0.64,22.68,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,,,0,HOLD,0,HOLD,0.02557319223985899,0.0,0.0,0.0,0.0,100000.0,98309.38292476755,0.0,5,15
000858.SZ,五粮液,食品饮料,2019-01-07,23.62,23.03,23.87,22.75,233797,1155244864.0,4.82,-0.99,-0.23,0.62,23.26,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,,,0,HOLD,0,HOLD,-0.009888220120378377,-0.0,0.0,0.0,-0.0,100000.0,97337.27810650888,0.0,5,15
000858.SZ,五粮液,食品饮料,2019-01-08,23.2,22.74,23.32,22.6,167844,824599216.0,3.13,-1.26,-0.29,0.44,23.03,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,23.074,,0,HOLD,0,HOLD,-0.012592270950933626,-0.0,0.0,0.0,-0.0,100000.0,96111.58072696535,0.0,5,15
000858.SZ,五粮液,食品饮料,2019-01-09,23.13,23.75,24.39,22.87,330785,1658874320.0,6.68,4.44,1.01,0.87,22.74,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,23.092000000000002,,0,HOLD,0,HOLD,0.04441512752858401,0.0,0.0,0.0,0.0,100000.0,100380.3888419273,0.0,5,15
000858.SZ,五粮液,食品饮料,2019-01-10,23.6,23.58,23.87,22.95,186374,925758400.0,3.87,-0.72,-0.17,0.49,23.75,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,23.272,,0,HOLD,0,HOLD,-0.007157894736842141,-0.0,0.0,0.0,-0.0,100000.0,99661.8765849535,0.0,5,15
000858.SZ,五粮液,食品饮料,2019-01-11,23.77,24.41,24.49,23.44,247668,1247223824.0,4.45,3.52,0.83,0.65,23.58,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,23.502,,0,HOLD,0,HOLD,0.03519932145886351,0.0,0.0,0.0,0.0,100000.0,103169.90701606085,0.0,5,15
000858.SZ,五粮液,食品饮料,2019-01-14,24.22,23.31,24.31,23.2,217801,1083865424.0,4.55,-4.51,-1.1,0.57,24.41,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,23.558,,0,HOLD,0,HOLD,-0.04506349856616143,-0.0,0.0,0.0,-0.0,100000.0,98520.71005917159,0.0,5,15
000858.SZ,五粮液,食品饮料,2019-01-15,23.47,26.69,26.82,23.23,500413,2572947456.0,15.4,14.5,3.38,1.32,23.31,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,24.348,,0,HOLD,0,HOLD,0.14500214500214503,0.0,0.0,0.0,0.0,100000.0,112806.42434488588,0.0,5,15
000858.SZ,五粮液,食品饮料,2019-01-16,26.52,25.92,26.52,25.75,330078,1727407216.0,2.88,-2.88,-0.77,0.87,26.69,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,24.782,,0,HOLD,0,HOLD,-0.028849756463094733,-0.0,0.0,0.0,-0.0,100000.0,109551.98647506342,0.0,5,15
000858.SZ,五粮液,食品饮料,2019-01-17,26.12,25.64,26.51,25.28,233910,1221557216.0,4.75,-1.08,-0.28,0.62,25.92,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,25.194,,0,HOLD,0,HOLD,-0.010802469135802517,-0.0,0.0,0.0,-0.0,100000.0,108368.55452240068,0.0,5,15
000858.SZ,五粮液,食品饮料,2019-01-18,25.92,27.6,28.22,25.92,521235,2803566848.0,8.97,7.64,1.96,1.37,25.64,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,25.832,,0,HOLD,0,HOLD,0.07644305772230897,0.0,0.0,0.0,0.0,100000.0,116652.57819103976,0.0,5,15
000858.SZ,五粮液,食品饮料,2019-01-21,28.37,29.72,30.09,28.34,549112,3061837200.0,6.34,7.68,2.12,1.45,27.6,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,27.113999999999997,,0,HOLD,0,HOLD,0.0768115942028984,0.0,0.0,0.0,0.0,100000.0,125612.84868977178,0.0,5,15
000858.SZ,五粮液,食品饮料,2019-01-22,29.72,28.93,29.72,28.37,335692,1848120928.0,4.54,-2.66,-0.79,0.88,29.72,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,27.562,24.994666666666667,1,BUY,0,HOLD,-0.026581426648721318,-0.0,0.0,0.0,-0.0,100000.0,122273.87996618768,0.0,5,15
