ts_code,stock_name,industry,trade_date,open,close,high,low,vol,amount,amplitude,pct_chg,change,turnover_rate,pre_close,price_type,source,adj_factor,true_range,atr,entry_high,exit_low,entry_signal,channel_exit_signal,execution,exit_reason,fill_price,cash,shares,position,exposure,stop_price,transaction_cost,turnover,strategy_equity,strategy_return,market_return,benchmark_equity,drawdown,entry_window,exit_window,atr_window,stop_atr,risk_fraction
300750.SZ,宁德时代,新能源汽车,2019-01-02,20.45,20.13,20.85,20.05,43941,326259376.0,3.96,-0.35,-0.07,2.02,,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,0.8000000000000007,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2019-01-03,19.49,20.22,20.62,19.49,44949,332238736.0,5.61,0.45,0.09,2.07,20.13,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,1.1300000000000026,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.0044709388971684305,100447.09388971684,0.0,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2019-01-04,19.94,21.96,22.12,19.89,79053,602100016.0,11.03,8.61,1.74,3.64,20.22,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,2.2300000000000004,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.08605341246290821,109090.9090909091,0.0,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2019-01-07,21.95,22.22,22.34,21.59,59696,460577312.0,3.42,1.18,0.26,2.75,21.96,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,0.75,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.011839708561020013,110382.5136612022,0.0,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2019-01-08,22.1,23.28,23.34,22.09,85750,674107584.0,5.63,4.77,1.06,3.95,22.22,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,1.25,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.04770477047704791,115648.28614008946,0.0,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2019-01-09,21.98,22.53,22.65,20.97,123799,952624096.0,7.22,-3.22,-0.75,5.7,23.28,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,2.3100000000000023,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.03221649484536082,111922.50372578246,0.0,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2019-01-10,22.34,21.58,22.45,21.44,83943,644858368.0,4.48,-4.22,-0.95,3.86,22.53,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,1.0899999999999999,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.04216600088770539,107203.17933432691,0.0,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2019-01-11,21.76,21.03,21.84,20.76,61367,463701248.0,5.0,-2.55,-0.55,2.82,21.58,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,1.0799999999999983,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.025486561631139826,104470.93889716845,0.0,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2019-01-14,21.04,21.47,21.61,20.48,48488,366505968.0,5.37,2.09,0.44,2.23,21.03,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,1.129999999999999,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.020922491678554422,106656.73124689523,0.0,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2019-01-15,21.43,22.19,22.25,20.79,58736,448317232.0,6.8,3.35,0.72,2.7,21.47,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,1.4600000000000009,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.033535165346995965,110233.48236462998,0.0,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2019-01-16,21.93,21.8,22.09,21.65,25739,197749843.0,1.98,-1.76,-0.39,1.18,22.19,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,0.5400000000000027,,,19.49,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.017575484452456047,108296.07550919034,0.0,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2019-01-17,21.95,21.79,22.37,21.65,37188,286721584.0,3.3,-0.05,-0.01,1.71,21.8,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,0.7200000000000024,,,19.49,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.0004587155963303724,108246.3984103329,0.0,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2019-01-18,22.07,21.09,22.07,20.32,65039,488797280.0,8.03,-3.21,-0.7,2.99,21.79,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,1.75,,,19.89,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.03212482790270765,104769.00149031304,0.0,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2019-01-21,20.89,21.0,21.22,20.46,52412,392168960.0,3.6,-0.43,-0.09,2.41,21.09,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,0.759999999999998,,,20.32,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.004267425320056861,104321.90760059618,0.0,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2019-01-22,20.87,20.47,21.24,20.33,42589,318440032.0,4.33,-2.52,-0.53,1.96,21.0,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,0.9100000000000001,,,20.32,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.02523809523809528,101689.02136115257,0.0,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2019-01-23,20.46,21.12,21.24,20.32,48848,367089072.0,4.49,3.18,0.65,2.25,20.47,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,0.9199999999999982,,,20.32,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.03175378602833434,104918.03278688532,0.0,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2019-01-24,20.87,20.97,21.35,20.7,37984,286305024.0,3.08,-0.71,-0.15,1.75,21.12,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,0.6500000000000021,,,20.32,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.007102272727272818,104172.8763040239,0.0,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2019-01-25,21.23,22.23,22.98,20.97,91190,707431984.0,9.59,6.01,1.26,4.2,20.97,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,2.0100000000000016,,,20.32,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.06008583690987135,110432.19076005968,0.0,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2019-01-28,22.59,21.47,22.68,21.44,46289,355879568.0,5.58,-3.42,-0.76,2.13,22.23,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,1.2399999999999984,,,20.32,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.03418803418803429,106656.73124689523,0.0,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2019-01-29,21.57,21.8,22.2,20.37,52363,395374224.0,8.52,1.54,0.33,2.41,21.47,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,1.8299999999999983,1.2280000000000002,,20.32,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.015370284117373068,108296.07550919031,0.0,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2019-01-30,20.5,21.54,22.18,20.1,77078,583430176.0,9.54,-1.19,-0.26,3.55,21.8,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,2.0799999999999983,1.2706000000000002,23.34,20.32,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.01192660550458724,107004.4709388972,0.0,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2019-01-31,21.58,21.49,22.41,21.45,44128,339614000.0,4.46,-0.23,-0.05,2.03,21.54,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,0.9600000000000009,1.2550700000000004,23.34,20.1,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.00232126276694522,106756.08544461006,0.0,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2019-02-01,21.8,22.76,23.19,21.54,62144,483480064.0,7.68,5.91,1.27,2.86,21.49,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,1.7000000000000028,1.2773165000000004,23.34,20.1,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.059097254536994104,113065.07699950328,0.0,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2019-02-11,23.09,24.2,24.42,23.08,83433,670709808.0,5.89,6.33,1.44,3.84,22.76,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,1.6600000000000001,1.2964506750000004,23.34,20.1,True,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.06326889279437609,120218.57923497273,0.0,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2019-02-12,23.93,24.2,24.54,23.67,49891,402647824.0,3.6,0.0,0.0,2.3,24.2,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,0.8699999999999974,1.2751281412500002,24.42,20.1,False,False,BUY,,23.93,90761.72720570337,385.6683556433798,1,0.09324325290184463,21.337098649999998,9.22904375054608,0.0922904375054608,100094.90141227316,0.0009490141227315174,0.0,120218.57923497273,0.0,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2019-02-13,24.09,24.59,25.63,23.85,78772,647619280.0,7.36,1.61,0.39,3.63,24.2,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,1.7799999999999976,1.3003717341875,24.54,20.1,True,False,HOLD,,,90761.72720570337,385.6683556433798,1,0.09460377417505862,21.337098649999998,0.0,0.0,100245.31207097408,0.0015026805219717776,0.0161157024793388,122155.98609041236,0.0,20,10,20,2.0,0.01
