ts_code,stock_name,industry,parameter,entry_window,exit_window,atr_window,stop_atr,sample_period,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,benchmark_return,excess_return,buy_count,sell_count,completed_trades,win_rate,average_holding_days,holding_ratio,average_exposure,total_transaction_cost,total_turnover,atr_stop_exits,channel_exits,open_position_at_end
000001.SZ,平安银行,银行,E20/X10/ATR20/S2,20,10,20,2.0,full,1823,-0.053461268996022215,-0.007566257548925259,0.04058603549609818,-0.16686045435454103,-0.13604835850307095,0.4631612058236332,-0.5166224748196554,34,34,34,0.29411764705882354,17.735294117647058,0.33077345035655514,0.08265485019528286,1565.7481390568037,16.129860343110387,14,20,0
000001.SZ,平安银行,银行,E20/X10/ATR20/S2,20,10,20,2.0,in_sample,1214,-0.05085565514403734,-0.010775939365300524,0.03751424307703749,-0.270086866687866,-0.10734556772736281,0.10387759069155922,-0.15473324583559656,22,22,22,0.3181818181818182,17.363636363636363,0.31466227347611203,0.06149423534072338,830.4438197883924,8.359097926746147,9,13,0
000001.SZ,平安银行,银行,E20/X10/ATR20/S2,20,10,20,2.0,out_of_sample,609,-0.002745224017934089,-0.0011368701236498246,0.046133498762806625,-0.0016142834013523682,-0.05353876648837452,0.3254741451060579,-0.32821936912399197,12,12,12,0.25,18.416666666666668,0.36288998357963875,0.12483709392834558,735.3043192684113,7.77076241636424,5,7,0
600036.SH,招商银行,银行,E20/X10/ATR20/S2,20,10,20,2.0,full,1823,-0.03652776851587869,-0.005130690905435387,0.038132006872441906,-0.11585525856067769,-0.10304497155239167,2.09136630343671,-2.1278940719525883,36,36,36,0.3333333333333333,18.444444444444443,0.3642347778387274,0.06984454915864809,1356.9742671248005,13.640401798298052,17,19,0
600036.SH,招商银行,银行,E20/X10/ATR20/S2,20,10,20,2.0,in_sample,1214,-0.04277562164358695,-0.009033741276887497,0.03623177141469773,-0.23238283098958679,-0.10304497155239167,0.8298407376362089,-0.8726163592797959,23,23,23,0.2608695652173913,17.869565217391305,0.3385502471169687,0.05222313943931347,690.812766057962,6.880326704771288,10,13,0
600036.SH,招商银行,银行,E20/X10/ATR20/S2,20,10,20,2.0,out_of_sample,609,0.006527051827112551,0.0026956997906990576,0.04168910845150635,0.08538484258712008,-0.059108882340878854,0.6894182317911126,-0.6828911799640001,13,13,13,0.46153846153846156,19.46153846153846,0.4154351395730706,0.10497162863200145,666.1615010668385,6.760075093526765,7,6,0
600519.SH,贵州茅台,食品饮料,E20/X10/ATR20/S2,20,10,20,2.0,full,1823,0.1052548732163292,0.013929999438158758,0.040210277035284465,0.3641462679856026,-0.11364318750104974,2.705578448859107,-2.6003235756427774,26,26,26,0.4230769230769231,24.807692307692307,0.35381239714755897,0.068443596588763,1291.7937632377336,11.427384295808759,12,14,0
600519.SH,贵州茅台,食品饮料,E20/X10/ATR20/S2,20,10,20,2.0,in_sample,1214,0.19258845584410578,0.037236486527516766,0.04368914899425494,0.8587200845556476,-0.08898487691667833,3.8947044713697165,-3.7021160155256108,15,15,15,0.6,35.53333333333333,0.4390444810543657,0.0770924121769769,546.3264058184922,4.925369619871075,4,11,0
600519.SH,贵州茅台,食品饮料,E20/X10/ATR20/S2,20,10,20,2.0,out_of_sample,609,-0.07323027671432758,-0.030979033085619445,0.03201257409242539,-0.9669947349049355,-0.09156105479426846,-0.24294133169144239,0.1697110549771148,11,11,11,0.18181818181818182,10.181818181818182,0.1839080459770115,0.05120277208286535,745.4673574192415,6.502014675937684,8,3,0
000858.SZ,五粮液,食品饮料,E20/X10/ATR20/S2,20,10,20,2.0,full,1823,0.08708705899560654,0.011609621346579724,0.04221016633297038,0.29456412461470727,-0.10555481995851879,2.1145393068470053,-2.0274522478513988,30,30,30,0.3333333333333333,19.033333333333335,0.3132199670872189,0.05161982132104802,1149.0803245350987,10.199829847475417,14,16,0
000858.SZ,五粮液,食品饮料,E20/X10/ATR20/S2,20,10,20,2.0,in_sample,1214,0.13132934235248417,0.025944627718838653,0.0457583839697547,0.5826535335760352,-0.07590617734828986,4.381234150464928,-4.2499048081124435,22,22,22,0.36363636363636365,21.318181818181817,0.38632619439868204,0.059353486952197713,702.9020194606865,6.227021820776022,10,12,0
